"condition","strain","r","n_cells_r1","median_umi_r1","n_cells_r2","median_umi_r2","mean_cells","min_cells"
"YPD","CLI",0.959337832545337,279,14725,498,7416,388.5,279
"YPD","BMA",0.935281395462784,292,14171.5,109,7467,200.5,109
"YPD","BAI",0.942342124735257,412,14832.5,310,4599.5,361,310
"YPD","ANG",0.920916635066202,301,14138,143,3462,222,143
"YPD","BAP",0.934811367520425,235,14178,343,4280,289,235
"YPD","BCK",0.951035228506947,356,9066,345,4973,350.5,345
"YPD","CDT",0.937773856792086,124,12124.5,327,3954,225.5,124
"YPD","CLB",0.942800140949134,329,15263,429,5064,379,329
"YPD","CDE",0.951594654238705,300,16036,511,4829,405.5,300
"YPD","BDP",0.938767019048446,268,8365,280,3356,274,268
"YPD","CGN",0.944188779592497,370,16780.5,319,3655,344.5,319
"YPD","BHQ",0.958286126742187,454,9332.5,731,6698,592.5,454
"YPD","SACE_YCR",0.946002953649808,352,15761,307,5897,329.5,307
"YPD","CCD",0.927708460952187,299,15858,110,5133.5,204.5,110
"YPD","BEF",0.948782418436652,277,14665,501,3715,389,277
"YPD","BAK",0.931070067662511,376,14838.5,197,3953,286.5,197
"YPD","BMB",0.93840381096914,279,13568,138,5772,208.5,138
"YPD","CNH",0.928526183051025,38,17125,110,7689.5,74,38
"YPD","CCN",0.924860310539503,75,19314,289,4145,182,75
"YPD","CPI",0.935188999496571,308,11004.5,296,3472.5,302,296
"YPD","BAF",0.914591055214358,139,14602,202,2840.5,170.5,139
"YPD","CCV",0.934101421294261,382,13914,209,3414,295.5,209
"YPD","BGD",0.768185199581159,77,7793,51,927,64,51
"YPD","BFH",0.878798485575773,110,10363.5,104,1468.5,107,104
"YPD","BHK",0.917320934888176,200,12953,246,2423.5,223,200
"YPD","ANN",0.955802607917118,384,15453.5,289,6989,336.5,289
"YPD","SACE_YCE",0.903970755392252,63,11479,119,3908,91,63
"YPD","CCG",0.896443856022735,132,15136,55,5133,93.5,55
"YPD","BAN",0.933397633617416,240,15223,331,4195,285.5,240
"YPD","CCS",0.943993693497971,396,16379,297,5717,346.5,297
"YPD","CQF",0.953865018407095,386,15676.5,251,5678,318.5,251
"YPD","CGS",0.945080093722099,275,14669,402,5026,338.5,275
"YPD","CQD",0.942943801975016,394,14687,328,4785.5,361,328
"YPD","AKM",0.922530504615092,205,14617,54,7612.5,129.5,54
"YPD","AKI",0.905751891239797,75,12651,195,1576,135,75
"YPD","BDL",0.93772436037901,48,17392,107,7937,77.5,48
"YPD","CCR",0.946775709556784,458,12877.5,349,4421,403.5,349
"YPD","CPN",0.94022222830235,315,9816,300,3524,307.5,300
"YPD","BHG",0.932091998247031,163,11431,308,4234,235.5,163
"YPD","CDL",0.941600006420466,392,14954,301,4356,346.5,301
"YPD","CMI",0.952648155442264,312,13962.5,314,6862.5,313,312
"YPD","CGL",0.950487435504469,212,9762,481,4814,346.5,212
"YPD","BNC",0.948379375257025,243,8074,330,5516,286.5,243
"YPD","BBQ",0.937746793486487,235,14159,354,4238.5,294.5,235
"YPD","CLP",0.951307447357359,176,10859,240,6349,208,176
"YPD","BAG",0.92223740828319,106,14667.5,171,3865,138.5,106
"YPD","BAM",0.908229677487513,377,15749,53,4762,215,53
"YPD","CAE",0.940982176776044,176,14744,493,6276,334.5,176
"YPD","SACE_YCU",0.824347260415817,162,16406.5,21,3340,91.5,21
"YPD","AMP",0.906919443815884,62,15591.5,125,3771,93.5,62
"YPD","BMC",0.880780799152486,128,14577,29,7021,78.5,29
"YPD","SACE_YCK",0.920456564169491,58,6071,420,3761.5,239,58
"YPD","BVG",0.940172065652475,124,15661.5,219,5748,171.5,124
"YPD","BAL",0.937066147432632,562,12220.5,638,3327,600,562
"YPD","BNV",0.944880578684502,179,14201,493,4954,336,179
"YPD","BFP",0.930886513890985,254,13834,341,3893,297.5,254
"YPD","CPK",0.948427610160635,351,10374,313,4544,332,313
"YPD","SACE_YCM",0.790081531323213,50,14184,15,4485,32.5,15
"YPD","BQM",0.936042441102954,125,14667,576,3887,350.5,125
"YPD","ATS",0.921576588614101,184,11980,480,2156,332,184
"YPD","CCQ",0.943844366871941,295,13762,337,5279,316,295
"YPD","BRK",0.920847084503269,43,16360,246,6074,144.5,43
"YPD","BGF",0.815167817060339,101,9887,64,1055.5,82.5,64
"YPD","AKH",0.910579696976243,166,14158.5,176,2127,171,166
"YPD","CBN",0.951928287392014,50,42162,215,15326,132.5,50
"YPD","CEG",0.914973699237633,127,7467,216,2764,171.5,127
"YPD","APQ",0.815381035590969,27,11250,63,1731,45,27
"YPD","CLN",0.94816168400861,91,19296,381,9437,236,91
"YPD","AAP",0.917734901489962,35,14738,76,8920,55.5,35
"YPD","AFE",0.936821291566918,55,28024,123,6855,89,55
"YPD","AVI",0.709649963543949,13,15546,8,3610,10.5,8
"YPD","CFF",0.926808219488705,134,12303.5,310,3099,222,134
"YPD","BHM",0.918985918558656,59,11444,275,3503,167,59
"YPD","BTG",0.830928403043644,11,14381,149,5619,80,11
"YPD","BDB",0.863449936697775,112,13529.5,275,1764,193.5,112
"YPD","CDH",0.83117174675817,36,17488,10,10370,23,10
"YPD","SACE_YAG",0.830662828790022,8,18428,91,4618,49.5,8
"YPD","SACE_YDE",0.587546054697071,10,18746.5,7,2685,8.5,7
"YPD","ALS",0.784481831090603,7,11240,222,2981,114.5,7
