"condition","gene","r","cor_category"
"YPD","YDL248W",0.841906595881866,"high (≥0.7)"
"YPD","YDL243C",0.73559580824424,"high (≥0.7)"
"YPD","YDL241W",0.820802143812138,"high (≥0.7)"
"YPD","YDL240W",0.273613732322549,"low (<0.4)"
"YPD","YDL239C",0.310231054596824,"low (<0.4)"
"YPD","YDL238C",0.282888566166251,"low (<0.4)"
"YPD","AIM6",0.308130477117819,"low (<0.4)"
"YPD","YDL236W",0.372151898734177,"low (<0.4)"
"YPD","YDL235C",0.466796494644596,"moderate (0.4–0.7)"
"YPD","YDL234C",0.240000001778141,"low (<0.4)"
"YPD","YDL233W",0.0146187085658117,"low (<0.4)"
"YPD","YDL232W",0.290993184031159,"low (<0.4)"
"YPD","YDL231C",0.270107108081792,"low (<0.4)"
"YPD","YDL230W",0.43383905696432,"moderate (0.4–0.7)"
"YPD","SSB1",0.715822784810127,"high (≥0.7)"
"YPD","YDL226C",0.635029211295034,"moderate (0.4–0.7)"
"YPD","SHS1",0.194040750806052,"low (<0.4)"
"YPD","YDL224C",0.189776046738072,"low (<0.4)"
"YPD","YDL223C",0.0368770076483116,"low (<0.4)"
"YPD","CDC13",0.20021273174555,"low (<0.4)"
"YPD","DTD1",0.368500486854917,"low (<0.4)"
"YPD","YDL217C",0.501278025416914,"moderate (0.4–0.7)"
"YPD","RRI1",0.128578350388293,"low (<0.4)"
"YPD","GDH2",0.293233679585077,"low (<0.4)"
"YPD","YDL214C",0.0378225355697006,"low (<0.4)"
"YPD","YDL213C",0.449245374878286,"moderate (0.4–0.7)"
"YPD","SHR3",0.47850535540409,"moderate (0.4–0.7)"
"YPD","YDL211C",0.0854010789135835,"low (<0.4)"
"YPD","CWC2",0.292808500544009,"low (<0.4)"
"YPD","YDL208W",0.525097370983447,"moderate (0.4–0.7)"
"YPD","GLE1",0.119839337877313,"low (<0.4)"
"YPD","YDL206W",0.415652597165138,"moderate (0.4–0.7)"
"YPD","HEM3",0.218818274214582,"low (<0.4)"
"YPD","YDL204W",0.538991467763726,"moderate (0.4–0.7)"
"YPD","YDL203C",0.231572541382668,"low (<0.4)"
"YPD","MRPL11",0.489179386205948,"moderate (0.4–0.7)"
"YPD","YDL201W",0.345569620253165,"low (<0.4)"
"YPD","MGT1",0.259622643432957,"low (<0.4)"
"YPD","YDL199C",-0.0305502031547177,"low (<0.4)"
"YPD","GGC1",0.743865628042843,"high (≥0.7)"
"YPD","YDL197C",0.43969352297262,"moderate (0.4–0.7)"
"YPD","SEC31",0.124001947419669,"low (<0.4)"
"YPD","YDL194W",0.166165954540223,"low (<0.4)"
"YPD","YDL193W",0.252580331061344,"low (<0.4)"
"YPD","YDL192W",0.301752677702045,"low (<0.4)"
"YPD","RPL35A",0.678140214216164,"moderate (0.4–0.7)"
"YPD","YDL190C",0.216310956132025,"low (<0.4)"
"YPD","YDL189W",0.240822784810127,"low (<0.4)"
"YPD","PPH22",0.112122687439143,"low (<0.4)"
"YPD","VMA1",0.585296981499513,"moderate (0.4–0.7)"
"YPD","RPL41A",0.613534566699124,"moderate (0.4–0.7)"
"YPD","YDL183C",0.431982592913665,"moderate (0.4–0.7)"
"YPD","YDL182W",0.926557935735151,"high (≥0.7)"
"YPD","YDL181W",0.910662122687439,"high (≥0.7)"
"YPD","YDL180W",0.18715763846622,"low (<0.4)"
"YPD","YDL179W",-0.0508276533592989,"low (<0.4)"
"YPD","DLD2",0.255063291139241,"low (<0.4)"
"YPD","YDL177C",0.152321830967999,"low (<0.4)"
"YPD","YDL176W",0.0319215624699088,"low (<0.4)"
"YPD","YDL175C",-0.00167969035323266,"low (<0.4)"
"YPD","YDL174C",0.393695228821811,"low (<0.4)"
"YPD","YDL173W",0.109177215189873,"low (<0.4)"
"YPD","YDL171C",0.838680623174294,"high (≥0.7)"
"YPD","YDL170W",0.285924691103206,"low (<0.4)"
"YPD","SFA1",0.852215189873418,"high (≥0.7)"
"YPD","YDL167C",0.135053554040896,"low (<0.4)"
"YPD","YDL166C",0.483690360272639,"moderate (0.4–0.7)"
"YPD","CDC36",0.349878286270691,"low (<0.4)"
"YPD","CDC9",0.245418860157144,"low (<0.4)"
"YPD","YDL161W",0.151022395326193,"low (<0.4)"
"YPD","YDL160C-A",0.522767939620716,"moderate (0.4–0.7)"
"YPD","YDL160C",0.256773533998524,"low (<0.4)"
"YPD","YDL159W",0.229603978215401,"low (<0.4)"
"YPD","YDL157C",0.361173320350536,"low (<0.4)"
"YPD","YDL156W",0.191039528546781,"low (<0.4)"
"YPD","YDL155W",0.167234664070107,"low (<0.4)"
"YPD","YDL154W",0.344421552498059,"low (<0.4)"
"YPD","SAS10",0.257327166504382,"low (<0.4)"
"YPD","RPC53",0.0389970788704966,"low (<0.4)"
"YPD","ATG9",0.120148619118465,"low (<0.4)"
"YPD","NOP14",-0.000121713729308666,"low (<0.4)"
"YPD","RPN5",0.232497565725414,"low (<0.4)"
"YPD","YDL146W",0.263106642659573,"low (<0.4)"
"YPD","COP1",0.386684518013632,"low (<0.4)"
"YPD","YDL144C",0.564264849074976,"moderate (0.4–0.7)"
"YPD","CCT4",0.601898734177215,"moderate (0.4–0.7)"
"YPD","CRD1",-0.002155080692813,"low (<0.4)"
"YPD","BPL1",0.0955389205104544,"low (<0.4)"
"YPD","RPO21",0.275365141187926,"low (<0.4)"
"YPD","YDL139C",0.230166155766601,"low (<0.4)"
"YPD","YDL138W",0.139527809969514,"low (<0.4)"
"YPD","YDL137W",0.698101265822785,"moderate (0.4–0.7)"
"YPD","RPL35B",0.574805258033106,"moderate (0.4–0.7)"
"YPD","YDL135C",0.247419668938656,"low (<0.4)"
"YPD","PPH21",0.334883154819864,"low (<0.4)"
"YPD","RPL41B",0.466382667964946,"moderate (0.4–0.7)"
"YPD","YDL133W",0.122409230644158,"low (<0.4)"
"YPD","YDL132W",0.499926971762415,"moderate (0.4–0.7)"
"YPD","YDL131W",0.747297955209348,"high (≥0.7)"
"YPD","STF1",0.531702271083918,"moderate (0.4–0.7)"
"YPD","RPP1B",0.559298928919182,"moderate (0.4–0.7)"
"YPD","YDL129W",-0.00862612385247741,"low (<0.4)"
"YPD","VCX1",0.573076923076923,"moderate (0.4–0.7)"
"YPD","PCL2",0.331118089632909,"low (<0.4)"
"YPD","YDL126C",0.586416747809153,"moderate (0.4–0.7)"
"YPD","YDL125C",0.69888023369036,"moderate (0.4–0.7)"
"YPD","YDL124W",0.369032260798646,"low (<0.4)"
"YPD","YDL123W",0.240714707372443,"low (<0.4)"
"YPD","YDL122W",0.237609542356378,"low (<0.4)"
"YPD","YDL121C",0.494863680623174,"moderate (0.4–0.7)"
"YPD","YDL120W",0.432765335929893,"moderate (0.4–0.7)"
"YPD","YDL119C",0.112746992812996,"low (<0.4)"
"YPD","YDL117W",0.330988315481986,"low (<0.4)"
"YPD","YDL116W",0.20014605647517,"low (<0.4)"
"YPD","YDL115C",0.465241390231292,"moderate (0.4–0.7)"
"YPD","ATG20",0.153449050686566,"low (<0.4)"
"YPD","YDL112W",-0.0556718597857838,"low (<0.4)"
"YPD","YDL111C",0.37570593962999,"low (<0.4)"
"YPD","YDL110C",0.337909881061197,"low (<0.4)"
"YPD","YDL109C",0.232289826763306,"low (<0.4)"
"YPD","YDL108W",0.342948952120895,"low (<0.4)"
"YPD","YDL107W",0.110635034704273,"low (<0.4)"
"YPD","PHO2",0.380609823600637,"low (<0.4)"
"YPD","NSE4",0.281845559593579,"low (<0.4)"
"YPD","YDL104C",0.00608735359354717,"low (<0.4)"
"YPD","QRI1",0.171738072054528,"low (<0.4)"
"YPD","POL3",0.0798466360477541,"low (<0.4)"
"YPD","YDL101C",0.0932083739045765,"low (<0.4)"
"YPD","GET3",0.204479065238559,"low (<0.4)"
"YPD","YDL099W",0.362959176328972,"low (<0.4)"
"YPD","YDL098C",0.345042479227823,"low (<0.4)"
"YPD","RPN6",0.442964946445959,"moderate (0.4–0.7)"
"YPD","YDL095W",0.205598831548199,"low (<0.4)"
"YPD","YDL093W",0.393621813156717,"low (<0.4)"
"YPD","YDL092W",0.363777994157741,"low (<0.4)"
"YPD","YDL091C",0.136261529039297,"low (<0.4)"
"YPD","RAM1",0.327912357876829,"low (<0.4)"
"YPD","YDL089W",0.184157355394277,"low (<0.4)"
"YPD","ASM4",0.189118792599805,"low (<0.4)"
"YPD","LUC7",-0.0953807654707672,"low (<0.4)"
"YPD","YDL086W",0.56516553067186,"moderate (0.4–0.7)"
"YPD","YDL085C-A",0.628229237044478,"moderate (0.4–0.7)"
"YPD","YDL084W",0.487025316455696,"moderate (0.4–0.7)"
"YPD","RPS16B",0.721032132424537,"high (≥0.7)"
"YPD","RPL13A",0.710540408958131,"high (≥0.7)"
"YPD","RPP1A",0.57935735150925,"moderate (0.4–0.7)"
"YPD","THI3",0.41245458314313,"moderate (0.4–0.7)"
"YPD","YDL079C",0.0426705563638419,"low (<0.4)"
"YPD","YDL078C",0.703115871470302,"high (≥0.7)"
"YPD","VAM6",0.125482320237263,"low (<0.4)"
"YPD","YDL076C",0.336963211834874,"low (<0.4)"
"YPD","RPL31A",0.572297955209348,"moderate (0.4–0.7)"
"YPD","YDL074C",0.150778967867575,"low (<0.4)"
"YPD","YDL073W",0.16969143723229,"low (<0.4)"
"YPD","YDL072C",0.740189873417722,"high (≥0.7)"
"YPD","YDL070W",0.437999026290166,"moderate (0.4–0.7)"
"YPD","YDL069C",0.140040168234524,"low (<0.4)"
"YPD","YDL067C",0.821713729308666,"high (≥0.7)"
