strain_i,strain_j,meta_r,clade_i,clade_j,pair_type
AFE,AKH,0.005186072526549383,8. Mixed origin,13. African palm wine,Different clade
AFE,AKI,-0.003159708909394069,8. Mixed origin,M3. Mosaic region 3,Different clade
AFE,AKM,0.011603129512519083,8. Mixed origin,19. Malaysian,Different clade
AFE,AMP,0.0032618484959491163,8. Mixed origin,M1. Mosaic region 1,Different clade
AFE,ANG,0.03053472429834257,8. Mixed origin,23. North American oak,Different clade
AFE,ANN,0.011808033682314747,8. Mixed origin,12. West African cocoa,Different clade
AFE,ATS,0.0017386011379437992,8. Mixed origin,8. Mixed origin,Same clade
AFE,BAF,0.008665781821920094,8. Mixed origin,13. African palm wine,Different clade
AFE,BAG,0.01704901200462128,8. Mixed origin,15. CHNII,Different clade
AFE,BAI,0.019739173927894215,8. Mixed origin,18. Far East Asia,Different clade
AFE,BAK,0.01890326351330958,8. Mixed origin,18. Far East Asia,Different clade
AFE,BAL,0.016013721370504292,8. Mixed origin,16. CHNI,Different clade
AFE,BAM,0.006916414061381078,8. Mixed origin,14. CHNIII,Different clade
AFE,BAN,0.015153266634955344,8. Mixed origin,20. CHN V,Different clade
AFE,BAP,0.007348064483111116,8. Mixed origin,20. CHN V,Different clade
AFE,BBQ,7.76528646325288e-4,8. Mixed origin,4. Mediterranean oak,Different clade
AFE,BCK,0.01768023860653032,8. Mixed origin,10. French Guiana human,Different clade
AFE,BDB,0.018099152255953696,8. Mixed origin,M2. Mosaic region 2,Different clade
AFE,BDP,0.005411191269424,8. Mixed origin,10. French Guiana human,Different clade
AFE,BEF,0.014769751037111124,8. Mixed origin,26. Asian fermentation,Different clade
AFE,BFH,-8.444073238869909e-4,8. Mixed origin,5. French dairy,Different clade
AFE,BFP,0.03103980314328532,8. Mixed origin,4. Mediterranean oak,Different clade
AFE,BGD,-0.01819201478376557,8. Mixed origin,5. French dairy,Different clade
AFE,BGF,0.015226596363890295,8. Mixed origin,5. French dairy,Different clade
AFE,BHG,0.019291011952652076,8. Mixed origin,M2. Mosaic region 2,Different clade
AFE,BHK,0.04767521389775861,8. Mixed origin,M1. Mosaic region 1,Different clade
AFE,BHM,0.02538846362400922,8. Mixed origin,M1. Mosaic region 1,Different clade
AFE,BHQ,0.0045072895645248455,8. Mixed origin,26. Asian fermentation,Different clade
AFE,BMA,0.0072191530115507455,8. Mixed origin,19. Malaysian,Different clade
AFE,BMB,0.043311160632766875,8. Mixed origin,19. Malaysian,Different clade
AFE,BMC,0.016678611145667436,8. Mixed origin,19. Malaysian,Different clade
AFE,BNC,-0.03318796159783753,8. Mixed origin,10. French Guiana human,Different clade
AFE,BNV,0.014663876870832064,8. Mixed origin,1. Wine/European,Different clade
AFE,BQM,0.056141569081487264,8. Mixed origin,1. Wine/European,Different clade
AFE,BVG,0.029962600359523587,8. Mixed origin,3. Brazilian bioethanol,Different clade
AFE,CAE,-0.002660396162065293,8. Mixed origin,1. Wine/European,Different clade
AFE,CBN,0.02619488204835022,8. Mixed origin,7. Mosaic beer,Different clade
AFE,CCD,0.016169185759604018,8. Mixed origin,21. Ecuadorean,Different clade
AFE,CCG,-0.016940171663613224,8. Mixed origin,21. Ecuadorean,Different clade
AFE,CCN,-0.0038656835827590827,8. Mixed origin,18. Far East Asia,Different clade
AFE,CCQ,-0.015017563650604453,8. Mixed origin,18. Far East Asia,Different clade
AFE,CCR,0.026149699403302685,8. Mixed origin,18. Far East Asia,Different clade
AFE,CCS,0.0037630518668881523,8. Mixed origin,18. Far East Asia,Different clade
AFE,CCV,0.03798700518345385,8. Mixed origin,24. Asian islands,Different clade
AFE,CDE,0.005201803371807226,8. Mixed origin,M3. Mosaic region 3,Different clade
AFE,CDL,-0.013789417714825178,8. Mixed origin,18. Far East Asia,Different clade
AFE,CDT,-0.028528352006813994,8. Mixed origin,2. Alpechin,Different clade
AFE,CEG,-0.02372534897067274,8. Mixed origin,17. Taiwanese,Different clade
AFE,CFF,0.025088983858044752,8. Mixed origin,7. Mosaic beer,Different clade
AFE,CGL,0.05137830386734966,8. Mixed origin,26. Asian fermentation,Different clade
AFE,CGN,0.01878537836700331,8. Mixed origin,26. Asian fermentation,Different clade
AFE,CGS,0.009141043278367572,8. Mixed origin,1. Wine/European,Different clade
AFE,CLB,0.03910455257700959,8. Mixed origin,4. Mediterranean oak,Different clade
AFE,CLI,-0.027033460107849648,8. Mixed origin,25. Sake,Different clade
AFE,CLN,0.010748454905261025,8. Mixed origin,25. Sake,Different clade
AFE,CLP,0.017670384316469095,8. Mixed origin,25. Sake,Different clade
AFE,CMI,-0.009524966293739334,8. Mixed origin,25. Sake,Different clade
AFE,CPI,0.022318756151732632,8. Mixed origin,9. Mexican agave,Different clade
AFE,CPK,0.02357730772144525,8. Mixed origin,9. Mexican agave,Different clade
AFE,CPN,0.03777668880801753,8. Mixed origin,9. Mexican agave,Different clade
AFE,CQD,-0.0017183003554966264,8. Mixed origin,12. West African cocoa,Different clade
AFE,CQF,0.01811201152625758,8. Mixed origin,12. West African cocoa,Different clade
AFE,SACE_YCE,-0.01931432308137262,8. Mixed origin,M3. Mosaic region 3,Different clade
AFE,SACE_YCK,-0.011060452265142521,8. Mixed origin,26. Asian fermentation,Different clade
AFE,SACE_YCM,0.0026027578106204595,8. Mixed origin,24. Asian islands,Different clade
AFE,SACE_YCR,0.013962038036005093,8. Mixed origin,18. Far East Asia,Different clade
AFE,SACE_YCU,-0.0019331747965321592,8. Mixed origin,23. North American oak,Different clade
AKH,AFE,0.005186072526549383,13. African palm wine,8. Mixed origin,Different clade
AKH,AKI,0.0410692272281235,13. African palm wine,M3. Mosaic region 3,Different clade
AKH,AKM,0.0826266917026021,13. African palm wine,19. Malaysian,Different clade
AKH,AMP,0.04800297741808943,13. African palm wine,M1. Mosaic region 1,Different clade
AKH,ANG,0.0911664817220324,13. African palm wine,23. North American oak,Different clade
AKH,ANN,0.12329238451730769,13. African palm wine,12. West African cocoa,Different clade
AKH,ATS,0.06135142042924909,13. African palm wine,8. Mixed origin,Different clade
AKH,BAF,0.06337186502347623,13. African palm wine,13. African palm wine,Same clade
AKH,BAG,0.0901410965375694,13. African palm wine,15. CHNII,Different clade
AKH,BAI,0.08998807830716897,13. African palm wine,18. Far East Asia,Different clade
AKH,BAK,0.08562109089500912,13. African palm wine,18. Far East Asia,Different clade
AKH,BAL,0.09282106907603384,13. African palm wine,16. CHNI,Different clade
AKH,BAM,0.05971990869763985,13. African palm wine,14. CHNIII,Different clade
AKH,BAN,0.09423814178490031,13. African palm wine,20. CHN V,Different clade
AKH,BAP,0.061660176332764736,13. African palm wine,20. CHN V,Different clade
AKH,BBQ,0.06746816406333678,13. African palm wine,4. Mediterranean oak,Different clade
AKH,BCK,0.06271139561495755,13. African palm wine,10. French Guiana human,Different clade
AKH,BDB,0.058668130957867215,13. African palm wine,M2. Mosaic region 2,Different clade
AKH,BDP,0.04282711336999499,13. African palm wine,10. French Guiana human,Different clade
AKH,BEF,0.07651706681214078,13. African palm wine,26. Asian fermentation,Different clade
AKH,BFH,0.06969510836369816,13. African palm wine,5. French dairy,Different clade
AKH,BFP,0.08424374524143247,13. African palm wine,4. Mediterranean oak,Different clade
AKH,BGD,0.036883881333122266,13. African palm wine,5. French dairy,Different clade
AKH,BGF,0.02706173121828021,13. African palm wine,5. French dairy,Different clade
AKH,BHG,0.08838563388454991,13. African palm wine,M2. Mosaic region 2,Different clade
AKH,BHK,0.04619219677606006,13. African palm wine,M1. Mosaic region 1,Different clade
AKH,BHM,0.024545021007889162,13. African palm wine,M1. Mosaic region 1,Different clade
AKH,BHQ,0.09285144802148891,13. African palm wine,26. Asian fermentation,Different clade
AKH,BMA,0.10063128921260633,13. African palm wine,19. Malaysian,Different clade
AKH,BMB,0.12017762961535683,13. African palm wine,19. Malaysian,Different clade
AKH,BMC,0.05196550209417909,13. African palm wine,19. Malaysian,Different clade
AKH,BNC,0.06792284818960308,13. African palm wine,10. French Guiana human,Different clade
AKH,BNV,0.058397136810734,13. African palm wine,1. Wine/European,Different clade
AKH,BQM,0.09180450561285691,13. African palm wine,1. Wine/European,Different clade
AKH,BVG,0.06644276479883357,13. African palm wine,3. Brazilian bioethanol,Different clade
AKH,CAE,0.05140788483890466,13. African palm wine,1. Wine/European,Different clade
AKH,CBN,0.06406832690424054,13. African palm wine,7. Mosaic beer,Different clade
AKH,CCD,0.07963480165389492,13. African palm wine,21. Ecuadorean,Different clade
AKH,CCG,0.07283428179098676,13. African palm wine,21. Ecuadorean,Different clade
AKH,CCN,0.08615369517232264,13. African palm wine,18. Far East Asia,Different clade
AKH,CCQ,0.09360408861540016,13. African palm wine,18. Far East Asia,Different clade
AKH,CCR,0.0899641638160999,13. African palm wine,18. Far East Asia,Different clade
AKH,CCS,0.126550505041719,13. African palm wine,18. Far East Asia,Different clade
AKH,CCV,0.08086264245978252,13. African palm wine,24. Asian islands,Different clade
AKH,CDE,0.08677041044793055,13. African palm wine,M3. Mosaic region 3,Different clade
AKH,CDL,0.11227789170896511,13. African palm wine,18. Far East Asia,Different clade
AKH,CDT,0.05436333911596993,13. African palm wine,2. Alpechin,Different clade
AKH,CEG,0.10445907963655367,13. African palm wine,17. Taiwanese,Different clade
AKH,CFF,0.10173101478305435,13. African palm wine,7. Mosaic beer,Different clade
AKH,CGL,0.09079162938665454,13. African palm wine,26. Asian fermentation,Different clade
AKH,CGN,0.11748050615734588,13. African palm wine,26. Asian fermentation,Different clade
AKH,CGS,0.10833858879051486,13. African palm wine,1. Wine/European,Different clade
AKH,CLB,0.08265469182263147,13. African palm wine,4. Mediterranean oak,Different clade
AKH,CLI,0.09549655294249347,13. African palm wine,25. Sake,Different clade
AKH,CLN,0.05367872495571522,13. African palm wine,25. Sake,Different clade
