ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,clade,direction
GO:0032543,mitochondrial translation,133,-0.792970239464447,-2.2035181180988705,6.67836806853596e-17,5.442869975856807e-14,5.0579850792753927e-14,716,"tags=63%, list=14%, signal=56%",YMR286W/YCR046C/YGR076C/YNL081C/YNL185C/YBR122C/YLR139C/YJL063C/YPL040C/YGR021W/YOR354C/YNL122C/YJR101W/YDR405W/YMR158W/YMR257C/YMR282C/YML025C/YMR293C/YBR146W/YLR312W-A/YCR003W/YPR047W/YPL097W/YDR194C/YER050C/YNL284C/YHR091C/YKL167C/YGR215W/YMR024W/YDL202W/YOR158W/YGR220C/YJL096W/YDR337W/YBR251W/YJL102W/YPL173W/YGL068W/YPL005W/YNL177C/YGR165W/YKL170W/YNL252C/YNR022C/YPR100W/YHR147C/YEL050C/YIL093C/YDR041W/YLR069C/YMR193W/YOL033W/YDR175C/YDR494W/YNR036C/YDR462W/YMR225C/YBR120C/YBL090W/YKR006C/YBL080C/YJR113C/YPL215W/YBR185C/YGL129C/YDR237W/YOR187W/YGR084C/YKL155C/YLR439W/YPL118W/YMR188C/YHL004W/YCR071C/YKR085C/YDR116C/YDR347W/YLR204W/YHR011W/YDR115W/YML129C/YKL138C,1. Wine/European,Downregulated
GO:0140053,mitochondrial gene expression,164,-0.7692407153761482,-2.1756294903700435,3.751463992664177e-17,5.442869975856807e-14,5.0579850792753927e-14,794,"tags=60%, list=15%, signal=52%",YOL027C/YMR098C/YHR059W/YJL062W-A/YMR286W/YCR046C/YGR076C/YNL081C/YNL185C/YBR122C/YLR139C/YIR021W/YJL063C/YPL040C/YGR021W/YOR354C/YHL038C/YNL122C/YJR101W/YDR405W/YMR023C/YMR158W/YMR257C/YMR282C/YML025C/YMR293C/YBR146W/YLR312W-A/YCR003W/YGR150C/YPR047W/YPL097W/YDL104C/YDR194C/YER050C/YNL284C/YHR091C/YKL167C/YGR215W/YMR024W/YGL107C/YDL202W/YOR158W/YGR220C/YJL096W/YDL033C/YDR337W/YBR251W/YJL102W/YPL173W/YGL068W/YPL005W/YPR134W/YNL177C/YGR165W/YKL170W/YNL252C/YNR022C/YPR100W/YHR147C/YEL050C/YIL093C/YDR041W/YLR069C/YMR193W/YOL033W/YDR175C/YDR494W/YNR036C/YPL029W/YDR462W/YMR225C/YBR120C/YBL090W/YKR006C/YBL080C/YJR113C/YPL215W/YBR185C/YML091C/YGL129C/YDR237W/YOR187W/YGR084C/YKL155C/YLR439W/YPL118W/YMR188C/YHL004W/YCR071C/YKR085C/YDR116C/YDR347W/YLR204W/YHR011W/YDR115W/YML129C/YKL138C,1. Wine/European,Downregulated
GO:0007005,mitochondrion organization,204,-0.6698613601647335,-1.9245919007528844,7.934157136244644e-11,4.310892044026257e-8,4.006053375107384e-8,866,"tags=41%, list=16%, signal=35%",YDL142C/YKR087C/YNR020C/YBR044C/YLR203C/YDR493W/YOL027C/YOL071W/YMR098C/YBR037C/YBR192W/YPR140W/YLR253W/YJL062W-A/YHR083W/YLL018C-A/YNL315C/YDR393W/YEL020W-A/YIR004W/YIR021W/YKL137W/YDR375C/YMR002W/YGR174C/YNR040W/YHR031C/YMR257C/YNL169C/YKL141W/YGR150C/YOR037W/YPR125W/YLR218C/YBR262C/YGL191W/YLL009C/YJR120W/YLL001W/YNL121C/YJL102W/YFL016C/YER058W/YOR211C/YPR020W/YDR322C-A/YBR091C/YLR168C/YNL005C/YPR100W/YDR529C/YPL189C-A/YPL029W/YPR133W-A/YDR296W/YLR295C/YER154W/YBR120C/YGR231C/YPL215W/YBR185C/YGR112W/YML091C/YML081C-A/YGR183C/YLR038C/YJR080C/YDR079W/YPR083W/YFR011C/YGR062C/YNL100W/YJR118C/YCL057C-A/YDR322W/YML030W/YJR034W/YMR244C-A/YNR018W/YML129C/YJL180C/YNL055C/YKR016W,1. Wine/European,Downregulated
GO:0045333,cellular respiration,98,-0.7527432603241684,-2.0140820945925477,4.689482817788788e-10,1.910964248248931e-7,1.77583309863107e-7,597,"tags=49%, list=11%, signal=44%",YLR139C/YMR002W/YLL041C/YEL024W/YGL187C/YMR256C/YNR001C/YEL039C/YNL169C/YKL141W/YOR065W/YGL191W/YLR395C/YJR048W/YJR120W/YGL107C/YKL085W/YFR049W/YPL132W/YJR121W/YDR148C/YPR191W/YML120C/YOR355W/YDR529C/YOR356W/YDL066W/YJL166W/YPL271W/YFR033C/YDR178W/YOR358W/YBL045C/YDL067C/YGL226W/YNL052W/YGR183C/YLR038C/YDR298C/YBL030C/YHR001W-A/YFL018C/YDR031W/YIL070C/YOL126C/YKL109W/YHR051W/YGR244C,1. Wine/European,Downregulated
GO:0015980,energy derivation by oxidation of organic compounds,151,-0.6878147289574333,-1.935874424475087,1.7139382061770782e-9,5.587438552137275e-7,5.192330691976454e-7,894,"tags=42%, list=17%, signal=36%",YIL111W/YAL054C/YJL209W/YOR002W/YLR134W/YIL125W/YOL071W/YPR140W/YBL021C/YJL036W/YPR160W/YGL018C/YLR139C/YMR002W/YLL041C/YEL024W/YGL187C/YIL050W/YMR256C/YLR087C/YNR001C/YEL039C/YNL169C/YPL100W/YKL141W/YOR065W/YGL191W/YLR395C/YJR048W/YJR120W/YGL107C/YKL085W/YFR049W/YPL132W/YJR121W/YDR148C/YPR191W/YML120C/YOR355W/YDR529C/YOR356W/YDL066W/YJL166W/YPL271W/YFR033C/YDR178W/YOR358W/YBL045C/YDL067C/YGL226W/YNL052W/YGR183C/YLR038C/YDR298C/YBL030C/YHR001W-A/YFL018C/YDR031W/YIL070C/YOL126C/YKL035W/YKL109W/YHR051W/YGR244C,1. Wine/European,Downregulated
GO:0006091,generation of precursor metabolites and energy,195,-0.6555550029027486,-1.8817703606888372,6.26102181059003e-9,1.7009109252102916e-6,1.58063340095422e-6,894,"tags=36%, list=17%, signal=31%",YIL111W/YAL054C/YJL209W/YOR002W/YLR134W/YIL125W/YOL071W/YPR140W/YBL021C/YLR354C/YJL036W/YPR160W/YPL252C/YGL018C/YMR315W/YLR139C/YMR002W/YLL041C/YEL024W/YGL187C/YIL050W/YMR256C/YLR087C/YNR001C/YEL039C/YNL169C/YPL100W/YKL141W/YBR117C/YOR065W/YCL040W/YGL191W/YOR347C/YLR395C/YJR048W/YJR120W/YGL107C/YKL085W/YFR049W/YPL132W/YOR374W/YJR121W/YDR148C/YPR191W/YML120C/YOR355W/YDR529C/YOR356W/YDL066W/YJL166W/YPL271W/YFR033C/YDR178W/YOR358W/YBL045C/YDL067C/YGL226W/YNL052W/YGR183C/YLR038C/YDR298C/YBL030C/YHR001W-A/YFL018C/YDR031W/YIL070C/YOL126C/YKL035W/YKL109W/YHR051W/YGR244C,1. Wine/European,Downregulated
GO:0009145,purine nucleoside triphosphate biosynthetic process,20,-0.9338412376279897,-1.9705025147273343,7.964983986249324e-8,1.6228654871982997e-5,1.5081068363437866e-5,306,"tags=75%, list=6%, signal=71%",YOL077W-A/YPR020W/YBL099W/YDR322C-A/YJR121W/YDR377W/YPL271W/YLR295C/YML081C-A/YKL016C/YDR298C/YDL004W/YBR039W/YPL078C/YKL067W,1. Wine/European,Downregulated
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,20,-0.9338412376279897,-1.9705025147273343,7.964983986249324e-8,1.6228654871982997e-5,1.5081068363437866e-5,306,"tags=75%, list=6%, signal=71%",YOL077W-A/YPR020W/YBL099W/YDR322C-A/YJR121W/YDR377W/YPL271W/YLR295C/YML081C-A/YKL016C/YDR298C/YDL004W/YBR039W/YPL078C/YKL067W,1. Wine/European,Downregulated
GO:0009060,aerobic respiration,84,-0.7512681939533264,-1.9736663619732764,9.61924045509937e-8,1.742151326867997e-5,1.6189575456009352e-5,597,"tags=51%, list=11%, signal=46%",YLR139C/YMR002W/YLL041C/YEL024W/YGL187C/YMR256C/YNR001C/YEL039C/YNL169C/YKL141W/YOR065W/YGL191W/YLR395C/YJR048W/YGL107C/YKL085W/YFR049W/YPL132W/YJR121W/YDR148C/YPR191W/YML120C/YOR355W/YDR529C/YDL066W/YJL166W/YPL271W/YFR033C/YDR178W/YBL045C/YDL067C/YGL226W/YNL052W/YGR183C/YLR038C/YDR298C/YBL030C/YHR001W-A/YDR031W/YIL070C/YOL126C/YHR051W/YGR244C,1. Wine/European,Downregulated
GO:0009142,nucleoside triphosphate biosynthetic process,28,-0.8857448804636576,-2.00004980729174,2.1789409261787098e-7,3.551673709671297e-5,3.300522097653857e-5,306,"tags=54%, list=6%, signal=51%",YOL077W-A/YPR020W/YBL099W/YDR322C-A/YJR121W/YDR377W/YPL271W/YLR295C/YML081C-A/YKL016C/YDR298C/YDL004W/YBR039W/YPL078C/YKL067W,1. Wine/European,Downregulated
