ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0008204,ergosterol metabolic process,15/124,38/4885,0.39473684210526316,15.550721561969441,14.530795749315525,4.700721457019056e-15,1.861485696979546e-12,1.6774153409783788e-12,YOL151W/YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,15,Downregulated,1. Wine/European
GO:0016128,phytosteroid metabolic process,15/124,38/4885,0.39473684210526316,15.550721561969441,14.530795749315525,4.700721457019056e-15,1.861485696979546e-12,1.6774153409783788e-12,YOL151W/YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,15,Downregulated,1. Wine/European
GO:0006696,ergosterol biosynthetic process,14/124,34/4885,0.4117647058823529,16.22153700189753,14.372486468233795,1.992393979602011e-14,3.944940079611982e-12,3.554850310974115e-12,YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,14,Downregulated,1. Wine/European
GO:0016129,phytosteroid biosynthetic process,14/124,34/4885,0.4117647058823529,16.22153700189753,14.372486468233795,1.992393979602011e-14,3.944940079611982e-12,3.554850310974115e-12,YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,14,Downregulated,1. Wine/European
GO:0006694,steroid biosynthetic process,15/124,42/4885,0.35714285714285715,14.069700460829493,13.727220962482633,2.7535794083871403e-14,4.36166978288523e-12,3.9303722923925924e-12,YOL151W/YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,15,Downregulated,1. Wine/European
GO:1902653,secondary alcohol biosynthetic process,14/124,36/4885,0.3888888888888889,15.320340501792113,13.91643778356895,5.206728096598521e-14,6.872881087510048e-12,6.1932660517435045e-12,YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,14,Downregulated,1. Wine/European
GO:1902652,secondary alcohol metabolic process,15/124,48/4885,0.3125,12.310987903225806,12.7081605352624,2.685295188445758e-13,3.0382196989272e-11,2.7377896808514646e-11,YOL151W/YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,15,Downregulated,1. Wine/European
GO:0016126,sterol biosynthetic process,14/124,41/4885,0.34146341463414637,13.452006294256492,12.920483689183717,4.3439067884795875e-13,4.300467720594792e-11,3.8752221086699486e-11,YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,14,Downregulated,1. Wine/European
GO:0016125,sterol metabolic process,15/124,53/4885,0.2830188679245283,11.149573950091296,11.988693676692414,1.3802324920060849e-12,1.2146045929653546e-10,1.0945001515557025e-10,YOL151W/YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,15,Downregulated,1. Wine/European
GO:0008202,steroid metabolic process,15/124,55/4885,0.2727272727272727,10.744134897360704,11.72737051634278,2.518194841558353e-12,1.9944103145142156e-10,1.797195897449014e-10,YOL151W/YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YHR042W/YHR190W,15,Downregulated,1. Wine/European
GO:0046165,alcohol biosynthetic process,15/124,71/4885,0.2112676056338028,8.322921399363924,10.030211332564182,1.376440517074016e-10,9.910371722932916e-9,8.930398761494573e-9,YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YNL280C/YJL167W/YKL150W/YER062C/YHR042W/YHR190W,15,Downregulated,1. Wine/European
GO:0008610,lipid biosynthetic process,24/124,222/4885,0.10810810810810811,4.258936355710549,8.019905263188754,8.243776363887259e-10,5.440892400165591e-8,4.902877521680318e-8,YOL151W/YGL055W/YGL012W/YGL001C/YGR037C/YGR157W/YLR056W/YLR099C/YPL231W/YPL170W/YML126C/YML008C/YMR015C/YMR079W/YMR134W/YMR202W/YBR109C/YNL280C/YJL167W/YKL150W/YER043C/YER120W/YHR042W/YHR190W,24,Downregulated,1. Wine/European
GO:0006066,alcohol metabolic process,17/124,108/4885,0.1574074074074074,6.201090203106332,8.820195724370281,9.928954145491912e-10,6.049024371715072e-8,5.450875231290297e-8,YOL151W/YGL012W/YGL001C/YLR056W/YPL170W/YML126C/YML008C/YMR015C/YMR134W/YMR202W/YMR318C/YNL280C/YJL167W/YKL150W/YER062C/YHR042W/YHR190W,17,Downregulated,1. Wine/European
