ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0009065,glutamine family amino acid catabolic process,2/14,11/5235,0.18181818181818182,67.98701298701299,11.515675050773625,3.603336943342119e-4,0.04972604981812124,0.04096425156641567,YLR438W/YPL111W,2,Downregulated,1. Wine/European
GO:0170034,L-amino acid biosynthetic process,19/193,104/5235,0.18269230769230768,4.955410522120366,7.970789128955638,4.645813251208944e-9,4.092750538550333e-6,3.959357885963699e-6,YDL182W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YBR115C/YBR248C/YNR050C/YJL088W/YJR109C/YKL001C/YER090W/YER091C/YHR018C/YIL116W/YIL094C/YIL046W/YIR034C,19,Downregulated,18. Far East Asia
GO:0170038,proteinogenic amino acid biosynthetic process,19/193,108/5235,0.17592592592592593,4.771876799078872,7.7487528828105985,8.955690456346463e-9,4.092750538550333e-6,3.959357885963699e-6,YDL182W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YBR115C/YBR248C/YNR050C/YJL088W/YJR109C/YKL001C/YER090W/YER091C/YHR018C/YIL116W/YIL094C/YIL046W/YIR034C,19,Downregulated,18. Far East Asia
GO:1901607,alpha-amino acid biosynthetic process,19/193,115/5235,0.16521739130434782,4.481414733047983,7.385226094974165,2.6228153120730472e-8,7.990843984115884e-6,7.730403025057404e-6,YDL182W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YBR115C/YBR248C/YNR050C/YJL088W/YJR109C/YKL001C/YER090W/YER091C/YHR018C/YIL116W/YIL094C/YIL046W/YIR034C,19,Downregulated,18. Far East Asia
GO:0006520,amino acid metabolic process,27/193,225/5235,0.12,3.254922279792746,6.763913839274845,3.500084650305901e-8,7.997693425948983e-6,7.737029226991992e-6,YDL182W/YDL168W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YMR303C/YBR006W/YBR115C/YBR248C/YNL333W/YNR050C/YJL088W/YJR109C/YKL218C/YKL001C/YEL066W/YER090W/YER091C/YHR018C/YHR112C/YIL116W/YIL094C/YIL046W/YIR034C/YFL059W,27,Downregulated,18. Far East Asia
GO:1901605,alpha-amino acid metabolic process,22/193,157/5235,0.14012738853503184,3.8008646579320815,6.970913511867408,4.468058106594282e-8,8.167610218854349e-6,7.901408020082521e-6,YDL182W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YBR006W/YBR115C/YBR248C/YNR050C/YJL088W/YJR109C/YKL001C/YEL066W/YER090W/YER091C/YHR018C/YHR112C/YIL116W/YIL094C/YIL046W/YIR034C,22,Downregulated,18. Far East Asia
GO:0008652,amino acid biosynthetic process,19/193,123/5235,0.15447154471544716,4.189940604069253,7.003801401361951,8.087116170645923e-8,1.2319373633283956e-5,1.191785540937294e-5,YDL182W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YBR115C/YBR248C/YNR050C/YJL088W/YJR109C/YKL001C/YER090W/YER091C/YHR018C/YIL116W/YIL094C/YIL046W/YIR034C,19,Downregulated,18. Far East Asia
GO:0170033,L-amino acid metabolic process,20/193,141/5235,0.14184397163120568,3.8474258626391804,6.705429555248468,1.5585391931906374e-7,2.0350068893946324e-5,1.9686810861355424e-5,YDL182W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YBR006W/YBR115C/YBR248C/YNR050C/YJL088W/YJR109C/YKL001C/YER090W/YER091C/YHR018C/YIL116W/YIL094C/YIL046W/YIR034C,20,Downregulated,18. Far East Asia
GO:0170039,proteinogenic amino acid metabolic process,20/193,143/5235,0.13986013986013987,3.7936157107141564,6.626505742178788,1.9763949760718426e-7,2.25803126016208e-5,2.1844365525004578e-5,YDL182W/YDL131W/YOL058W/YOR303W/YLL062C/YLR303W/YBR006W/YBR115C/YBR248C/YNR050C/YJL088W/YJR109C/YKL001C/YER090W/YER091C/YHR018C/YIL116W/YIL094C/YIL046W/YIR034C,20,Downregulated,18. Far East Asia
GO:0016053,organic acid biosynthetic process,22/193,185/5235,0.11891891891891893,3.225598655650469,6.029497486387682,8.509523288168223e-7,7.315087846322496e-5,7.076671416458478e-5,YDL182W/YDL131W/YOL058W/YOR303W/YGR267C/YLL062C/YLR303W/YPR067W/YBR115C/YBR248C/YNR050C/YNR057C/YJL088W/YJR109C/YKL001C/YER090W/YER091C/YHR018C/YIL116W/YIL094C/YIL046W/YIR034C,22,Downregulated,18. Far East Asia
