ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0000920,septum digestion after cytokinesis,3/20,20/5678,0.15,42.584999999999994,11.075496532920637,4.102036990820432e-5,0.007547748063109595,0.006822335205785561,YLR286C/YNL327W/YNR067C,3,Upregulated,10. French Guiana human
GO:0002181,cytoplasmic translation,5/20,168/5678,0.02976190476190476,8.449404761904763,5.826978115969843,2.3091430392483908e-4,0.021244115961085195,0.019202347379012937,YDR471W/YLR344W/YLR406C/YLR441C/YHR203C,5,Upregulated,10. French Guiana human
GO:0051156,glucose 6-phosphate metabolic process,4/36,21/5678,0.19047619047619047,30.042328042328037,10.649816902060197,7.546239669086685e-6,0.002746831239547553,0.0023591928228618372,YGR043C/YHR163W/YCL040W/YFR053C,4,Downregulated,10. French Guiana human
GO:1904659,D-glucose transmembrane transport,3/36,11/5678,0.2727272727272727,43.015151515151516,11.140888477577253,3.73077643943143e-5,0.006790013119765202,0.005831792644795446,YDR342C/YCL040W/YFR053C,3,Downregulated,10. French Guiana human
GO:0005975,carbohydrate metabolic process,8/36,256/5678,0.03125,4.928819444444445,5.13802784029183,1.5406860986627596e-4,0.01869365799710815,0.016055570922906656,YGR043C/YGR279C/YMR295C/YNR001C/YHR163W/YCL040W/YCR005C/YFR053C,8,Downregulated,10. French Guiana human
GO:0008645,hexose transmembrane transport,3/36,24/5678,0.125,19.71527777777778,7.338683411790634,4.3241685974130704e-4,0.03147994738916715,0.027037433124877514,YDR342C/YCL040W/YFR053C,3,Downregulated,10. French Guiana human
GO:0015749,monosaccharide transmembrane transport,3/36,24/5678,0.125,19.71527777777778,7.338683411790634,4.3241685974130704e-4,0.03147994738916715,0.027037433124877514,YDR342C/YCL040W/YFR053C,3,Downregulated,10. French Guiana human
GO:0031505,fungal-type cell wall organization,6/23,183/5678,0.03278688524590164,8.09408410548824,6.2207835433703345,6.597108652254852e-5,0.014986290960957226,0.01278541800998473,YDR144C/YOL030W/YLR121C/YMR307W/YER150W/YIL011W,6,Downregulated,2. Alpechin
GO:0071852,fungal-type cell wall organization or biogenesis,6/23,204/5678,0.029411764705882353,7.260869565217392,5.807703065000534,1.2085718516900988e-4,0.014986290960957226,0.01278541800998473,YDR144C/YOL030W/YLR121C/YMR307W/YER150W/YIL011W,6,Downregulated,2. Alpechin
GO:0045229,external encapsulating structure organization,6/23,235/5678,0.02553191489361702,6.303052728954671,5.294778172809206,2.6292362045927015e-4,0.016301264468474748,0.013907275713766657,YDR144C/YOL030W/YLR121C/YMR307W/YER150W/YIL011W,6,Downregulated,2. Alpechin
GO:0071555,cell wall organization,6/23,235/5678,0.02553191489361702,6.303052728954671,5.294778172809206,2.6292362045927015e-4,0.016301264468474748,0.013907275713766657,YDR144C/YOL030W/YLR121C/YMR307W/YER150W/YIL011W,6,Downregulated,2. Alpechin
