ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0045333,cellular respiration,14/47,94/4986,0.14893617021276595,15.799909461294702,14.12998687449353,5.46196474785009e-14,1.715056930824928e-11,1.3913636515576019e-11,YDL066W/YDR298C/YOR136W/YLL041C/YLR038C/YLR304C/YPL262W/YMR002W/YBL030C/YKL109W/YKL085W/YHR001W-A/YFL018C/YFR049W,14,Upregulated,18. Far East Asia
GO:0015980,energy derivation by oxidation of organic compounds,15/47,143/4986,0.1048951048951049,11.127808361850914,11.98638592280657,1.1983553203967218e-12,1.8814178530228532e-10,1.526326250189509e-10,YDL066W/YDR298C/YOR136W/YLL041C/YLR038C/YLR304C/YPL262W/YMR002W/YMR145C/YBL030C/YKL109W/YKL085W/YHR001W-A/YFL018C/YFR049W,15,Upregulated,18. Far East Asia
GO:0009060,aerobic respiration,12/47,80/4986,0.15,15.912765957446808,13.116000387239783,4.146611542258248e-12,4.340120080896967e-10,3.5209824323736703e-10,YDL066W/YDR298C/YOR136W/YLL041C/YLR038C/YLR304C/YPL262W/YMR002W/YBL030C/YKL085W/YHR001W-A/YFR049W,12,Upregulated,18. Far East Asia
GO:0006091,generation of precursor metabolites and energy,15/47,186/4986,0.08064516129032258,8.555250514756349,10.243461034641093,5.672999487164459e-11,4.4533045974241006e-9,3.6128049365626297e-9,YDL066W/YDR298C/YOR136W/YLL041C/YLR038C/YLR304C/YPL262W/YMR002W/YMR145C/YBL030C/YKL109W/YKL085W/YHR001W-A/YFL018C/YFR049W,15,Upregulated,18. Far East Asia
GO:0006099,tricarboxylic acid cycle,7/47,26/4986,0.2692307692307692,28.561374795417347,13.74385959636676,2.390213003666287e-9,1.501053766302428e-7,1.2177506250257716e-7,YDL066W/YOR136W/YLL041C/YLR304C/YPL262W/YKL085W/YFR049W,7,Upregulated,18. Far East Asia
GO:0009145,purine nucleoside triphosphate biosynthetic process,5/47,20/4986,0.25,26.52127659574468,11.155165856124691,8.34866288896275e-7,3.7449716387632904e-5,3.0381600287653924e-5,YDR298C/YDR322C-A/YPL078C/YKL067W/YKL016C,5,Upregulated,18. Far East Asia
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,5/47,20/4986,0.25,26.52127659574468,11.155165856124691,8.34866288896275e-7,3.7449716387632904e-5,3.0381600287653924e-5,YDR298C/YDR322C-A/YPL078C/YKL067W/YKL016C,5,Upregulated,18. Far East Asia
GO:0009201,ribonucleoside triphosphate biosynthetic process,5/47,23/4986,0.21739130434782608,23.061979648473635,10.34423211742386,1.7740382029472553e-6,6.963099946567977e-5,5.648911119910997e-5,YDR298C/YDR322C-A/YPL078C/YKL067W/YKL016C,5,Upregulated,18. Far East Asia
GO:0009142,nucleoside triphosphate biosynthetic process,5/47,26/4986,0.19230769230769232,20.400981996726678,9.674567200435366,3.3954969868887855e-6,1.1846511709811984e-4,9.61064644242206e-5,YDR298C/YDR322C-A/YPL078C/YKL067W/YKL016C,5,Upregulated,18. Far East Asia
GO:0043648,dicarboxylic acid metabolic process,6/47,47/4986,0.1276595744680851,13.542779538252603,8.427236886202884,4.0530169733360125e-6,1.2726473296275078e-4,1.0324527447866475e-4,YDL066W/YOR136W/YPL262W/YKL085W/YFL018C/YFR049W,6,Upregulated,18. Far East Asia
GO:0006754,ATP biosynthetic process,4/47,16/4986,0.25,26.52127659574468,9.973467769673999,1.1615049616108351e-5,3.0392713162150184e-4,2.4656508834194923e-4,YDR298C/YDR322C-A/YPL078C/YKL016C,4,Upregulated,18. Far East Asia
GO:0015986,proton motive force-driven ATP synthesis,4/47,16/4986,0.25,26.52127659574468,9.973467769673999,1.1615049616108351e-5,3.0392713162150184e-4,2.4656508834194923e-4,YDR298C/YDR322C-A/YPL078C/YKL016C,4,Upregulated,18. Far East Asia
GO:0009152,purine ribonucleotide biosynthetic process,5/47,40/4986,0.125,13.26063829787234,7.594129825021409,3.077578825503777e-5,7.433536547755276e-4,6.030559317991206e-4,YDR298C/YDR322C-A/YPL078C/YKL067W/YKL016C,5,Upregulated,18. Far East Asia
GO:1902600,proton transmembrane transport,6/47,75/4986,0.08,8.486808510638298,6.3724199296422706,6.232110000928769e-5,0.0013977732430654525,0.0011339628723494454,YDR298C/YDR322C-A/YLR038C/YPL078C/YKL016C/YHR001W-A,6,Upregulated,18. Far East Asia
GO:0009205,purine ribonucleoside triphosphate metabolic process,5/47,48/4986,0.10416666666666667,11.050531914893616,6.824897292526087,7.569995490150349e-5,0.0015846523892714729,0.0012855711639413224,YDR298C/YDR322C-A/YPL078C/YKL067W/YKL016C,5,Upregulated,18. Far East Asia
GO:0009144,purine nucleoside triphosphate metabolic process,5/47,50/4986,0.1,10.608510638297872,6.660632914668946,9.235962394735331e-5,0.0018125576199668088,0.0014704624338986517,YDR298C/YDR322C-A/YPL078C/YKL067W/YKL016C,5,Upregulated,18. Far East Asia
