condition,clade,n_strains,n_upregulated,n_downregulated,total_DEGs
YPD.1,8. Mixed origin,4,553,324,877
YPD.1,19. Malaysian,4,186,228,414
YPD.1,5. French dairy,3,190,217,407
YPD.1,18. Far East Asia,8,100,217,317
YPD.1,10. French Guiana human,3,154,142,296
YPD.1,25. Sake,4,69,83,152
YPD.1,9. Mexican agave,3,56,65,121
YPD.1,M3. Mosaic region 3,3,76,5,81
YPD.1,26. Asian fermentation,5,36,42,78
YPD.1,1. Wine/European,4,12,32,44
YPD.1,2. Alpechin,2,5,35,40
YPD.1,23. North American oak,4,4,21,25
YPD.1,M1. Mosaic region 1,3,13,12,25
YPD.1,13. African palm wine,3,11,11,22
YPD.1,22. Far East Russian,3,11,6,17
YPD.1,20. CHN V,2,5,6,11
YPD.1,12. West African cocoa,3,4,6,10
YPD.1,24. Asian islands,3,3,5,8
YPD.1,7. Mosaic beer,3,4,3,7
YPD.1,4. Mediterranean oak,4,2,4,6
YPD.1,M2. Mosaic region 2,2,4,0,4
YPD.1,21. Ecuadorean,2,3,0,3
YPD.1,3. Brazilian bioethanol,2,0,2,2
