clade,n_focal,Downregulated,Upregulated
8. Mixed origin,4,149,519
25. Sake,4,118,136
19. Malaysian,4,144,108
18. Far East Asia,8,176,26
10. French Guiana human,3,86,111
2. Alpechin,3,37,119
5. French dairy,3,44,46
26. Asian fermentation,5,45,24
3. Brazilian bioethanol,3,11,22
9. Mexican agave,3,8,19
M2. Mosaic region 2,2,0,24
M3. Mosaic region 3,3,1,21
1. Wine/European,4,11,1
24. Asian islands,3,1,10
13. African palm wine,3,5,3
7. Mosaic beer,3,3,5
20. CHN V,2,3,2
M1. Mosaic region 1,3,0,5
12. West African cocoa,3,1,1
4. Mediterranean oak,4,1,1
