ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0031505,fungal-type cell wall organization,8/32,183/5678,0.04371584699453552,7.756830601092896,6.994372000184926,5.413906704656759e-6,0.002116837521520793,0.002017392603629993,YDR144C/YDR261C/YOL030W/YGR189C/YLR121C/YMR307W/YER150W/YIL011W,8,Downregulated,2. Alpechin
GO:0071852,fungal-type cell wall organization or biogenesis,8/32,204/5678,0.0392156862745098,6.958333333333333,6.524563801388568,1.2102927217005006e-5,0.0023661222709244786,0.0022549664393788278,YDR144C/YDR261C/YOL030W/YGR189C/YLR121C/YMR307W/YER150W/YIL011W,8,Downregulated,2. Alpechin
GO:0045229,external encapsulating structure organization,8/32,235/5678,0.03404255319148936,6.040425531914893,5.9408141477201015,3.3925085790150474e-5,0.003316177135987209,0.003160389570977176,YDR144C/YDR261C/YOL030W/YGR189C/YLR121C/YMR307W/YER150W/YIL011W,8,Downregulated,2. Alpechin
GO:0071555,cell wall organization,8/32,235/5678,0.03404255319148936,6.040425531914893,5.9408141477201015,3.3925085790150474e-5,0.003316177135987209,0.003160389570977176,YDR144C/YDR261C/YOL030W/YGR189C/YLR121C/YMR307W/YER150W/YIL011W,8,Downregulated,2. Alpechin
GO:0071554,cell wall organization or biogenesis,8/32,272/5678,0.029411764705882353,5.21875,5.367773981240712,9.627782630912192e-5,0.007528926017373334,0.007175231687037719,YDR144C/YDR261C/YOL030W/YGR189C/YLR121C/YMR307W/YER150W/YIL011W,8,Downregulated,2. Alpechin
GO:0042254,ribosome biogenesis,249/672,401/5678,0.6209476309226932,5.246637869611685,32.316366773842915,2.4178458872869244e-143,2.9812039790247776e-140,2.659630476015617e-140,YDL229W/YDL213C/YDL208W/YDL191W/YDL153C/YDL148C/YDL136W/YDL083C/YDL063C/YDL060W/YDL031W/YDL014W/YDR025W/YDR060W/YDR064W/YDR083W/YDR087C/YDR091C/YDR101C/YDR161W/YDR299W/YDR324C/YDR361C/YDR365C/YDR398W/YDR412W/YDR418W/YDR449C/YDR450W/YDR478W/YDR496C/YDR500C/YOL144W/YOL127W/YOL121C/YOL080C/YOL077C/YOL041C/YOL040C/YOL022C/YOL021C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR145C/YOR167C/YOR206W/YOR210W/YOR224C/YOR234C/YOR272W/YOR293W/YOR294W/YOR310C/YOR340C/YOR341W/YOR369C/YGL189C/YGL171W/YGL135W/YGL123W/YGL120C/YGL099W/YGL078C/YGL076C/YGL030W/YGR034W/YGR095C/YGR103W/YGR118W/YGR128C/YGR145W/YGR159C/YGR162W/YGR195W/YGR214W/YGR245C/YGR280C/YLL045C/YLL034C/YLR002C/YLR009W/YLR022C/YLR048W/YLR059C/YLR068W/YLR074C/YLR075W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR204W/YLR221C/YLR222C/YLR264W/YLR276C/YLR340W/YLR344W/YLR409C/YLR435W/YLR438C-A/YLR441C/YLR448W/YPL266W/YPL239W/YPL226W/YPL220W/YPL217C/YPL211W/YPL183W-A/YPL146C/YPL143W/YPL131W/YPL093W/YPL090C/YPL082C/YPL043W/YPL012W/YPR010C/YPR016C/YPR041W/YPR102C/YPR110C/YPR132W/YPR137W/YPR144C/YPR169W/YPR187W/YML093W/YML073C/YML063W/YML026C/YML024W/YMR049C/YMR093W/YMR131C/YMR229C/YMR230W/YMR235C/YMR239C/YMR269W/YMR290C/YBL072C/YBL004W/YBR048W/YBR154C/YBR181C/YBR189W/YBR247C/YBR267W/YNL308C/YNL302C/YNL282W/YNL248C/YNL232W/YNL221C/YNL209W/YNL182C/YNL178W/YNL137C/YNL132W/YNL113W/YNL112W/YNL096C/YNL075W/YNL069C/YNL061W/YNL002C/YNR024W/YNR038W/YNR046W/YNR054C/YJL177W/YJL148W/YJL136C/YJL122W/YJL109C/YJL069C/YJL050W/YJL033W/YJL010C/YJR063W/YJR123W/YKL180W/YKL172W/YKL156W/YKL099C/YKL082C/YKL078W/YKL021C/YKL014C/YKL009W/YKL006W/YKR024C/YKR057W/YKR060W/YKR081C/YKR094C/YEL055C/YEL054C/YEL026W/YER006W/YER007C-A/YER036C/YER056C-A/YER074W/YER082C/YER102W/YER126C/YER131W/YHL033C/YHL001W/YHR021C/YHR052W/YHR064C/YHR065C/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR143W-A/YHR148W/YHR169W/YHR170W/YHR196W/YHR197W/YIL148W/YIL133C/YIL069C/YIL052C/YIL019W/YCL059C/YCL054W/YCR016W/YCR031C/YCR057C/YCR087C-A/YFR001W/YFR031C-A/YAL059W/YAL035W/YAL025C,249,Upregulated,20. CHN V
GO:0022613,ribonucleoprotein complex biogenesis,269/672,481/5678,0.5592515592515592,4.725342787842787,31.28679534527271,8.020683315743637e-140,4.944751264155952e-137,4.411375823659001e-137,YDL229W/YDL213C/YDL208W/YDL191W/YDL153C/YDL148C/YDL136W/YDL083C/YDL063C/YDL060W/YDL031W/YDL014W/YDR025W/YDR060W/YDR064W/YDR083W/YDR087C/YDR091C/YDR101C/YDR161W/YDR190C/YDR299W/YDR324C/YDR361C/YDR365C/YDR398W/YDR412W/YDR418W/YDR429C/YDR449C/YDR450W/YDR478W/YDR496C/YDR500C/YOL144W/YOL127W/YOL121C/YOL080C/YOL077C/YOL041C/YOL040C/YOL022C/YOL021C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR145C/YOR159C/YOR167C/YOR204W/YOR206W/YOR210W/YOR224C/YOR234C/YOR272W/YOR293W/YOR294W/YOR310C/YOR340C/YOR341W/YOR361C/YOR369C/YGL189C/YGL171W/YGL135W/YGL123W/YGL120C/YGL099W/YGL078C/YGL076C/YGL030W/YGR034W/YGR095C/YGR103W/YGR118W/YGR128C/YGR145W/YGR159C/YGR162W/YGR195W/YGR214W/YGR245C/YGR280C/YLL045C/YLL036C/YLL034C/YLR002C/YLR009W/YLR022C/YLR048W/YLR059C/YLR068W/YLR074C/YLR075W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR204W/YLR221C/YLR222C/YLR264W/YLR276C/YLR325C/YLR340W/YLR344W/YLR409C/YLR435W/YLR438C-A/YLR441C/YLR448W/YPL266W/YPL239W/YPL237W/YPL226W/YPL220W/YPL217C/YPL211W/YPL183W-A/YPL146C/YPL143W/YPL131W/YPL093W/YPL090C/YPL082C/YPL043W/YPL012W/YPR010C/YPR016C/YPR041W/YPR102C/YPR110C/YPR132W/YPR137W/YPR144C/YPR163C/YPR169W/YPR187W/YML093W/YML073C/YML063W/YML026C/YML024W/YMR049C/YMR093W/YMR131C/YMR146C/YMR229C/YMR230W/YMR235C/YMR239C/YMR260C/YMR269W/YMR290C/YMR309C/YBL072C/YBL004W/YBR048W/YBR079C/YBR154C/YBR181C/YBR189W/YBR247C/YBR267W/YNL308C/YNL302C/YNL282W/YNL248C/YNL244C/YNL232W/YNL221C/YNL209W/YNL182C/YNL178W/YNL175C/YNL137C/YNL132W/YNL113W/YNL112W/YNL096C/YNL075W/YNL069C/YNL061W/YNL002C/YNR024W/YNR038W/YNR046W/YNR054C/YJL177W/YJL148W/YJL138C/YJL136C/YJL122W/YJL109C/YJL069C/YJL050W/YJL033W/YJL010C/YJR007W/YJR063W/YJR123W/YKL180W/YKL172W/YKL156W/YKL099C/YKL082C/YKL078W/YKL021C/YKL014C/YKL009W/YKL006W/YKR024C/YKR057W/YKR060W/YKR081C/YKR094C/YEL055C/YEL054C/YEL026W/YER006W/YER007C-A/YER025W/YER036C/YER056C-A/YER074W/YER082C/YER102W/YER126C/YER131W/YHL033C/YHL001W/YHR021C/YHR052W/YHR064C/YHR065C/YHR072W-A/YHR081W/YHR086W/YHR088W/YHR089C/YHR143W-A/YHR148W/YHR169W/YHR170W/YHR196W/YHR197W/YIL148W/YIL133C/YIL069C/YIL052C/YIL019W/YCL059C/YCL054W/YCR016W/YCR031C/YCR057C/YCR077C/YCR087C-A/YFR001W/YFR031C-A/YAL059W/YAL035W/YAL025C,269,Upregulated,20. CHN V
GO:0006364,rRNA processing,179/672,287/5678,0.6236933797909407,5.26983781317405,27.19670699631811,6.045565862419188e-100,2.484727569454286e-97,2.216707482887036e-97,YDL229W/YDL213C/YDL208W/YDL191W/YDL153C/YDL148C/YDL136W/YDL083C/YDL060W/YDL031W/YDL014W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR299W/YDR324C/YDR365C/YDR398W/YDR412W/YDR449C/YDR450W/YDR478W/YDR500C/YOL144W/YOL080C/YOL077C/YOL041C/YOL022C/YOL021C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR145C/YOR167C/YOR272W/YOR294W/YOR310C/YOR369C/YGL189C/YGL171W/YGL123W/YGL120C/YGL078C/YGL076C/YGL030W/YGR095C/YGR103W/YGR118W/YGR128C/YGR145W/YGR159C/YGR195W/YGR214W/YGR280C/YLL045C/YLR002C/YLR048W/YLR059C/YLR068W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR222C/YLR264W/YLR276C/YLR409C/YLR435W/YLR438C-A/YLR441C/YPL266W/YPL217C/YPL211W/YPL146C/YPL143W/YPL093W/YPL090C/YPL082C/YPL043W/YPL012W/YPR016C/YPR132W/YPR137W/YPR144C/YML093W/YML063W/YML026C/YMR049C/YMR093W/YMR131C/YMR229C/YMR239C/YMR290C/YBL072C/YBL004W/YBR048W/YBR181C/YBR189W/YBR247C/YNL308C/YNL282W/YNL232W/YNL221C/YNL209W/YNL182C/YNL132W/YNL112W/YNL096C/YNL075W/YNL069C/YNL061W/YNL002C/YNR024W/YNR038W/YNR046W/YNR054C/YJL177W/YJL136C/YJL109C/YJL069C/YJL050W/YJL033W/YJL010C/YJR123W/YKL180W/YKL172W/YKL156W/YKL099C/YKL082C/YKL078W/YKL021C/YKL014C/YKL009W/YKL006W/YKR024C/YKR057W/YKR060W/YKR081C/YEL055C/YEL026W/YER006W/YER074W/YER082C/YER102W/YER126C/YER131W/YHL033C/YHL001W/YHR021C/YHR064C/YHR065C/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR148W/YHR169W/YHR196W/YHR197W/YIL133C/YIL069C/YIL019W/YCL059C/YCL054W/YCR016W/YCR031C/YCR057C/YCR087C-A/YFR001W/YAL035W/YAL025C,179,Upregulated,20. CHN V
GO:0016072,rRNA metabolic process,192/672,344/5678,0.5581395348837209,4.71594684385382,26.05078828880123,2.389195456409123e-95,7.364694994381121e-93,6.570287505125088e-93,YDL229W/YDL213C/YDL208W/YDL191W/YDL153C/YDL148C/YDL136W/YDL083C/YDL060W/YDL031W/YDL014W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR266C/YDR299W/YDR324C/YDR365C/YDR398W/YDR412W/YDR449C/YDR450W/YDR478W/YDR500C/YOL144W/YOL080C/YOL077C/YOL041C/YOL022C/YOL021C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR145C/YOR167C/YOR272W/YOR294W/YOR310C/YOR340C/YOR341W/YOR369C/YGL189C/YGL171W/YGL123W/YGL120C/YGL078C/YGL076C/YGL030W/YGR095C/YGR103W/YGR118W/YGR128C/YGR145W/YGR159C/YGR195W/YGR214W/YGR280C/YLL045C/YLR002C/YLR048W/YLR059C/YLR068W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR222C/YLR264W/YLR276C/YLR409C/YLR435W/YLR438C-A/YLR441C/YPL266W/YPL217C/YPL211W/YPL146C/YPL143W/YPL093W/YPL090C/YPL082C/YPL043W/YPL012W/YPR010C/YPR016C/YPR132W/YPR137W/YPR144C/YML093W/YML063W/YML026C/YMR049C/YMR093W/YMR116C/YMR131C/YMR229C/YMR239C/YMR290C/YBL072C/YBL004W/YBR010W/YBR048W/YBR154C/YBR181C/YBR189W/YBR247C/YNL308C/YNL282W/YNL248C/YNL232W/YNL221C/YNL209W/YNL182C/YNL178W/YNL132W/YNL113W/YNL112W/YNL096C/YNL075W/YNL069C/YNL061W/YNL002C/YNR024W/YNR038W/YNR046W/YNR054C/YJL177W/YJL148W/YJL136C/YJL109C/YJL069C/YJL050W/YJL033W/YJL010C/YJR063W/YJR123W/YKL180W/YKL172W/YKL156W/YKL099C/YKL082C/YKL078W/YKL021C/YKL014C/YKL009W/YKL006W/YKR024C/YKR057W/YKR060W/YKR081C/YEL055C/YEL026W/YER006W/YER074W/YER082C/YER102W/YER126C/YER131W/YER148W/YHL033C/YHL001W/YHR021C/YHR064C/YHR065C/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR148W/YHR169W/YHR196W/YHR197W/YIL133C/YIL069C/YIL019W/YCL059C/YCL054W/YCR016W/YCR031C/YCR057C/YCR087C-A/YFR001W/YAL035W/YAL025C,192,Upregulated,20. CHN V
GO:0006412,translation,221/672,460/5678,0.48043478260869565,4.059387939958592,25.076105586955922,1.1138041991435558e-93,2.7466411550880085e-91,2.4503692381158228e-91,YDL229W/YDL213C/YDL191W/YDL136W/YDL130W/YDL083C/YDL082W/YDL081C/YDL075W/YDL061C/YDR012W/YDR023W/YDR025W/YDR064W/YDR091C/YDR194C/YDR266C/YDR341C/YDR382W/YDR385W/YDR404C/YDR418W/YDR429C/YDR450W/YDR471W/YDR496C/YDR500C/YOL127W/YOL121C/YOL120C/YOL097C/YOL040C/YOL039W/YOR051C/YOR063W/YOR096W/YOR133W/YOR167C/YOR168W/YOR182C/YOR187W/YOR204W/YOR234C/YOR260W/YOR276W/YOR293W/YOR312C/YOR335C/YOR354C/YOR361C/YOR369C/YGL245W/YGL189C/YGL147C/YGL135W/YGL123W/YGL103W/YGL076C/YGL068W/YGL031C/YGL030W/YGL014W/YGR027C/YGR034W/YGR054W/YGR083C/YGR094W/YGR118W/YGR148C/YGR162W/YGR185C/YGR214W/YGR215W/YGR264C/YLL045C/YLR029C/YLR048W/YLR060W/YLR061W/YLR069C/YLR075W/YLR150W/YLR167W/YLR185W/YLR204W/YLR249W/YLR264W/YLR287C-A/YLR291C/YLR312W-A/YLR325C/YLR333C/YLR340W/YLR344W/YLR388W/YLR406C/YLR439W/YLR441C/YLR448W/YPL249C-A/YPL237W/YPL226W/YPL220W/YPL183W-A/YPL160W/YPL143W/YPL131W/YPL090C/YPL079W/YPR016C/YPR033C/YPR041W/YPR043W/YPR080W/YPR100W/YPR102C/YPR132W/YPR163C/YML073C/YML063W/YML026C/YML024W/YMR024W/YMR080C/YMR116C/YMR142C/YMR146C/YMR194W/YMR230W/YMR242C/YMR260C/YMR309C/YBL092W/YBL090W/YBL087C/YBL076C/YBL072C/YBL032W/YBL027W/YBR031W/YBR048W/YBR061C/YBR079C/YBR084C-A/YBR118W/YBR121C/YBR143C/YBR181C/YBR185C/YBR189W/YBR191W/YBR251W/YBR271W/YNL302C/YNL301C/YNL247W/YNL244C/YNL209W/YNL178W/YNL175C/YNL162W/YNL137C/YNL096C/YNL069C/YNL005C/YJL190C/YJL177W/YJL138C/YJL136C/YJL063C/YJR007W/YJR094W-A/YJR123W/YJR145C/YKL180W/YKL170W/YKL156W/YKL138C/YKL081W/YKL056C/YKL006W/YKR057W/YKR059W/YKR085C/YKR094C/YEL054C/YER007C-A/YER025W/YER049W/YER056C-A/YER074W/YER102W/YER117W/YER131W/YER165W/YHL033C/YHL004W/YHL001W/YHR010W/YHR020W/YHR021C/YHR064C/YHR141C/YHR147C/YIL148W/YIL133C/YIL093C/YIL069C/YIL052C/YIL018W/YCR031C/YCR046C/YCR071C/YCR077C/YFL022C/YFR001W/YFR031C-A/YFR032C-A/YAL036C/YAL035W/YAL003W,221,Upregulated,20. CHN V
