condition,clade,n_strains,n_upregulated,n_downregulated,total_DEGs
sc2glu.2,20. CHN V,2,672,1080,1752
sc2glu.2,8. Mixed origin,4,273,39,312
sc2glu.2,18. Far East Asia,8,23,42,65
sc2glu.2,2. Alpechin,3,25,32,57
sc2glu.2,25. Sake,4,19,14,33
sc2glu.2,26. Asian fermentation,5,8,5,13
sc2glu.2,5. French dairy,2,11,2,13
sc2glu.2,3. Brazilian bioethanol,3,4,5,9
sc2glu.2,1. Wine/European,4,2,5,7
sc2glu.2,9. Mexican agave,3,5,2,7
sc2glu.2,13. African palm wine,3,1,4,5
sc2glu.2,4. Mediterranean oak,4,2,1,3
sc2glu.2,M3. Mosaic region 3,3,3,0,3
sc2glu.2,M1. Mosaic region 1,3,1,1,2
sc2glu.2,M2. Mosaic region 2,2,1,0,1
sc2glu.2,12. West African cocoa,3,0,0,0
sc2glu.2,7. Mosaic beer,3,0,0,0
