"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"SC2Glu-only","GO:0002181","cytoplasmic translation","57/1136","168/5796",6.50208880688859e-06,0.0107284465313662,0.0107284465313662
"SC2Glu-only","GO:0006412","translation","125/1136","461/5796",2.7753715616517e-05,0.0228968153836265,0.0228968153836265
"SC2Glu-only","GO:0005840","ribosome","78/1136","259/5799",2.23247519338379e-05,0.00590462079946204,0.00590462079946204
"SC2Glu-only","GO:0044391","ribosomal subunit","70/1136","229/5799",3.4631207034968e-05,0.00590462079946204,0.00590462079946204
"SC2Glu-only","GO:0022626","cytosolic ribosome","52/1136","162/5799",8.82551084470882e-05,0.00984886607950832,0.00984886607950832
"SC2Glu-only","GO:0015934","large ribosomal subunit","44/1136","132/5799",0.000115529220873998,0.00984886607950832,0.00984886607950832
"SC2Glu-only","GO:0022625","cytosolic large ribosomal subunit","31/1136","84/5799",0.000149393373106304,0.0101886280458499,0.0101886280458499
"SC2Glu-only","GO:0003735","structural constituent of ribosome","70/1134","220/5794",7.44598329690321e-06,0.00412507474648438,0.00410704762902872
"Shared SC2Glu-Flu","GO:0016053","organic acid biosynthetic process","55/1008","190/5796",4.32088867629531e-05,0.0353016604853327,0.0342942111781754
"Shared SC2Glu-Flu","GO:0046394","carboxylic acid biosynthetic process","55/1008","190/5796",4.32088867629531e-05,0.0353016604853327,0.0342942111781754
"Shared SC2Glu-Flu","GO:0043436","oxoacid metabolic process","93/1008","375/5796",0.000112077592828938,0.0375928566580945,0.036520020511761
"Shared SC2Glu-Flu","GO:0044283","small molecule biosynthetic process","87/1008","347/5796",0.000124969924779059,0.0375928566580945,0.036520020511761
"Shared SC2Glu-Flu","GO:0019752","carboxylic acid metabolic process","89/1008","357/5796",0.000129668402849437,0.0375928566580945,0.036520020511761
"Shared SC2Glu-Flu","GO:0006082","organic acid metabolic process","93/1008","377/5796",0.0001380398653296,0.0375928566580945,0.036520020511761
"Shared SC2Glu-Flu","GO:0006520","amino acid metabolic process","62/1008","232/5796",0.000188904621370316,0.0440957359027282,0.0428373186505921
"Shared SC2Glu-Flu","GO:0170033","L-amino acid metabolic process","43/1008","148/5796",0.000266325134747161,0.0446454383891631,0.0433713335636526
"Shared SC2Glu-Flu","GO:0006119","oxidative phosphorylation","16/1008","38/5796",0.000300550686830351,0.0446454383891631,0.0433713335636526
"Shared SC2Glu-Flu","GO:0008204","ergosterol metabolic process","16/1008","38/5796",0.000300550686830351,0.0446454383891631,0.0433713335636526
"Shared SC2Glu-Flu","GO:0016128","phytosteroid metabolic process","16/1008","38/5796",0.000300550686830351,0.0446454383891631,0.0433713335636526
"Shared SC2Glu-Flu","GO:0170039","proteinogenic amino acid metabolic process","43/1008","150/5796",0.00036706064843287,0.0499814249616092,0.0485550401611201
"Shared SC2Glu-Flu","GO:0032040","small-subunit processome","21/1008","53/5799",0.000102065146232074,0.0184715772921443,0.0172301676441702
"Shared SC2Glu-Flu","GO:0030684","preribosome","48/1008","165/5799",0.000113671244874734,0.0184715772921443,0.0172301676441702
"Shared SC2Glu-Flu","GO:0005730","nucleolus","77/1008","302/5799",0.000170993857503513,0.0185243345628806,0.0172793792845655
"Shared SC2Glu-Flu","GO:0030686","90S preribosome","29/1008","90/5799",0.000407559134411486,0.0331141796709332,0.0308886922922389
"Shared SC2Glu-Flu","GO:0016491","oxidoreductase activity","94/1007","327/5794",1.1052050525528e-07,5.96810728378514e-05,5.32825172704404e-05
"Shared SC2Glu-Flu","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","33/1007","89/5794",6.38360499865662e-06,0.00172357334963729,0.0015387847838867
"Shared SC2Glu-Flu","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","31/1007","84/5794",1.3555868142774e-05,0.00244005626569933,0.0021784517927686
"Shared SC2Glu-Flu","GO:0009055","electron transfer activity","18/1007","39/5794",2.84813877658858e-05,0.00384498734839459,0.00343275673599361
"Shared SC2Glu-Flu","GO:0022857","transmembrane transporter activity","97/1007","390/5794",6.86141799615258e-05,0.00741033143584479,0.00661585145734291
"Shared SC2Glu-Flu","GO:0005215","transporter activity","102/1007","431/5794",0.000343351127378281,0.0309016014640453,0.0275885642700443
