"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"YPD-only","GO:0002181","cytoplasmic translation","70/1475","168/5796",2.31301334419996e-06,0.00387198433819074,0.00382986314781741
"YPD-only","GO:0006412","translation","158/1475","461/5796",6.63167456252068e-06,0.00555071160882981,0.00549032846676054
"YPD-only","GO:0005840","ribosome","107/1475","259/5799",7.85189696473156e-09,1.52692650990756e-06,1.43859579113586e-06
"YPD-only","GO:0044391","ribosomal subunit","97/1475","229/5799",8.90336157380501e-09,1.52692650990756e-06,1.43859579113586e-06
"YPD-only","GO:0022626","cytosolic ribosome","71/1475","162/5799",1.88111674759917e-07,2.15074348142172e-05,2.02632575969455e-05
"YPD-only","GO:0022625","cytosolic large ribosomal subunit","41/1475","84/5799",2.89506344430223e-06,0.000248251690348916,0.000233890651947575
"YPD-only","GO:0015934","large ribosomal subunit","55/1475","132/5799",2.75293172328292e-05,0.00188851116217208,0.00177926324010075
"YPD-only","GO:0015935","small ribosomal subunit","42/1475","97/5799",8.49336871119525e-05,0.00485537577989995,0.00457449858655604
"YPD-only","GO:0098798","mitochondrial protein-containing complex","59/1475","153/5799",0.0001989809167813,0.00975006492228369,0.00918603630855024
"YPD-only","GO:0003735","structural constituent of ribosome","96/1471","220/5794",1.4715367205408e-09,8.16702879900145e-07,8.05472731243386e-07
"YPD-only","GO:0005198","structural molecule activity","128/1471","363/5794",9.92268325404288e-06,0.0027535446029969,0.00271568173268542
"Flu-only","GO:0051128","regulation of cellular component organization","91/894","390/5796",1.40492490344857e-05,0.0226052416964874,0.0215766887803312
"Flu-only","GO:0033043","regulation of organelle organization","62/894","246/5796",3.22512193587898e-05,0.0259461059741464,0.0247655416023549
"Flu-only","GO:0016072","rRNA metabolic process","80/894","344/5796",5.41276309318437e-05,0.0290304527231122,0.0277095486068631
"Flu-only","GO:0043412","macromolecule modification","107/894","495/5796",8.10034457901786e-05,0.0325836360690993,0.0311010598441765
"Flu-only","GO:0005730","nucleolus","74/894","302/5799",1.57394764225689e-05,0.00500515350237692,0.00460586783734122
"Flu-only","GO:0030686","90S preribosome","28/894","90/5799",0.000124398396144032,0.019779344986901,0.0182014495410741
"Flu-only","GO:0061695","transferase complex, transferring phosphorus-containing groups","42/894","163/5799",0.00036147994491777,0.0383168741612836,0.0352601490130316
"Shared YPD-Flu","GO:0043436","oxoacid metabolic process","132/1363","375/5796",8.35954950547763e-08,7.80460122142008e-05,7.28814958208748e-05
"Shared YPD-Flu","GO:0006082","organic acid metabolic process","132/1363","377/5796",1.19557945695988e-07,7.80460122142008e-05,7.28814958208748e-05
"Shared YPD-Flu","GO:0019752","carboxylic acid metabolic process","126/1363","357/5796",1.42074051360802e-07,7.80460122142008e-05,7.28814958208748e-05
"Shared YPD-Flu","GO:0016053","organic acid biosynthetic process","72/1363","190/5796",4.52748071198057e-06,0.0014922576426688,0.00139351090545592
"Shared YPD-Flu","GO:0046394","carboxylic acid biosynthetic process","72/1363","190/5796",4.52748071198057e-06,0.0014922576426688,0.00139351090545592
"Shared YPD-Flu","GO:0008652","amino acid biosynthetic process","51/1363","124/5796",8.20084240795437e-06,0.00225249804805147,0.00210344414042619
"Shared YPD-Flu","GO:1901607","alpha-amino acid biosynthetic process","48/1363","116/5796",1.24078264647018e-05,0.00292115685911836,0.00272785598366827
"Shared YPD-Flu","GO:0006520","amino acid metabolic process","82/1363","232/5796",2.22645894999587e-05,0.00415408708116173,0.00387919986756416
"Shared YPD-Flu","GO:1901605","alpha-amino acid metabolic process","62/1363","164/5796",2.26861551762473e-05,0.00415408708116173,0.00387919986756416
"Shared YPD-Flu","GO:0170033","L-amino acid metabolic process","57/1363","148/5796",2.58503218660619e-05,0.004260133043527,0.00397822848086131
"Shared YPD-Flu","GO:0170039","proteinogenic amino acid metabolic process","57/1363","150/5796",4.06617118504319e-05,0.00609186373904652,0.00568874858615611
"Shared YPD-Flu","GO:0170038","proteinogenic amino acid biosynthetic process","44/1363","109/5796",5.82464857408564e-05,0.00799918404174428,0.00746985632922211
"Shared YPD-Flu","GO:0170034","L-amino acid biosynthetic process","42/1363","105/5796",0.000109180334950916,0.0138407070768546,0.0129248299350801
"Shared YPD-Flu","GO:0072523","purine-containing compound catabolic process","23/1363","47/5796",0.000119955895622441,0.0138714150345666,0.0129535058639092
"Shared YPD-Flu","GO:0044283","small molecule biosynthetic process","111/1363","347/5796",0.000126256811601031,0.0138714150345666,0.0129535058639092
"Shared YPD-Flu","GO:0032787","monocarboxylic acid metabolic process","61/1363","175/5796",0.00038076943727403,0.0392192520392251,0.0366240077167521
