Bin,MeanR2,Q25,Q75,FracGE,N,type
1000,0.847123789115646,0.7219715,1,0.870748299319728,147,CNVs
3000,0.695047846666667,0.40863325,1,0.658333333333333,120,CNVs
5000,0.595780484712644,0.382551,0.8678135,0.540229885057471,87,CNVs
7000,0.414343763864865,0.124131,0.67659575,0.337837837837838,74,CNVs
9000,0.362558005136508,0.08438325,0.5572715,0.206349206349206,63,CNVs
11000,0.430923331939024,0.215686,0.663492,0.292682926829268,41,CNVs
13000,0.251774763438889,0.055804075,0.420033,0.0833333333333333,36,CNVs
15000,0.254543779923077,0.01788335,0.4497945,0.102564102564103,39,CNVs
17000,0.207294863515152,0.0606061,0.361781,0.0303030303030303,33,CNVs
19000,0.178108835004,0.0395917,0.334783,0,25,CNVs
