Bin,MeanR2,Q25,Q75,FracGE,N,type
500,0.382868912090687,0.0905525,0.661545,0.277258566978193,2889,Indels
1500,0.223110949863053,0.0415679,0.373775,0.0748898678414097,1589,Indels
2500,0.193194222656267,0.028605625,0.297978,0.0627705627705628,1386,Indels
3500,0.158196302308423,0.02391915,0.224456,0.0445912469033856,1211,Indels
4500,0.173336671651055,0.02821275,0.241369,0.0622950819672131,1220,Indels
5500,0.162511100718033,0.0242243,0.224273,0.0490740740740741,1080,Indels
6500,0.16177410425755,0.0298503,0.232423,0.0474833808167142,1053,Indels
7500,0.149090007438482,0.02581705,0.215913,0.0227531285551763,879,Indels
8500,0.156206710981056,0.0314648,0.23153875,0.0269396551724138,928,Indels
9500,0.147420376074202,0.0282904,0.2147065,0.0197215777262181,862,Indels
10500,0.142414786794707,0.0223118,0.212801,0.0192076830732293,833,Indels
11500,0.143699382476874,0.025121675,0.20339825,0.0281030444964871,854,Indels
12500,0.152759760171273,0.0347663,0.2042215,0.0307529162248144,943,Indels
13500,0.142271903725543,0.02269685,0.20749225,0.0224056603773585,848,Indels
14500,0.149304311587182,0.02717815,0.21757175,0.0257985257985258,814,Indels
15500,0.148742613081665,0.0213483,0.221156,0.0256081946222791,781,Indels
16500,0.145773003790137,0.0324688,0.214152,0.0142302716688228,773,Indels
17500,0.136648865314742,0.0254554,0.20327475,0.0180412371134021,776,Indels
18500,0.143305977877929,0.0249029,0.2149065,0.0160116448326055,687,Indels
19500,0.159568932305885,0.033371525,0.23131725,0.0159744408945687,626,Indels
20500,0.438299,0.438299,0.438299,0,1,Indels
