Bin,MeanR2,Q25,Q75,FracGE,N,type
50,0.52623927879731,0.211402,0.864184,0.436779306990186,34949,SNPs
150,0.453335409109798,0.175552,0.724841,0.338535374971432,30629,SNPs
250,0.419824204456306,0.15534875,0.661442,0.294176207068193,28126,SNPs
350,0.397372372044574,0.1442055,0.62265875,0.266224134094786,26966,SNPs
450,0.383187899304477,0.140414,0.59287225,0.2457158226389,26026,SNPs
550,0.368401839056851,0.1321915,0.5629215,0.225966697134682,25163,SNPs
650,0.359076970534001,0.127506,0.5432105,0.213313526317903,24907,SNPs
750,0.35526581107638,0.125826,0.540999,0.208694936865052,24313,SNPs
850,0.347795024473389,0.122396,0.525491,0.200679297786144,24437,SNPs
950,0.345498721513925,0.120741,0.52418625,0.198352980520023,23922,SNPs
1050,0.338263343941719,0.1178955,0.51114475,0.188059071729958,23700,SNPs
1150,0.336337947688862,0.114255,0.504329,0.185314239578464,23533,SNPs
1250,0.329905921617855,0.111858,0.497612,0.179174284620945,23519,SNPs
1350,0.322853843407247,0.109911,0.481951,0.169292183542945,23297,SNPs
1450,0.320400859802457,0.108655,0.484693,0.164186269803169,22913,SNPs
1550,0.315852250984955,0.107842,0.474964,0.159980877048112,23009,SNPs
1650,0.310889731391944,0.106296,0.466485,0.153390531771264,22961,SNPs
1750,0.309523631134555,0.105886,0.460397,0.154848550882545,22945,SNPs
1850,0.306173007016018,0.103804,0.4579,0.152033513702217,22916,SNPs
1950,0.304161654413307,0.102737,0.451946,0.148710966665203,22769,SNPs
2050,0.303948374006555,0.103149,0.452582,0.148370612757183,22309,SNPs
2150,0.305413703205249,0.102601,0.4535795,0.152013916767028,22419,SNPs
2250,0.298049890205589,0.101218,0.4392965,0.143060182100822,22515,SNPs
2350,0.296578564092608,0.099687425,0.43637575,0.139613309352518,22240,SNPs
2450,0.296027405602386,0.099161575,0.44065025,0.137515561088387,22492,SNPs
2550,0.295549632624364,0.10070275,0.43562075,0.139524410016213,22204,SNPs
2650,0.288057270154912,0.095881675,0.42655825,0.132066938037087,22110,SNPs
2750,0.286560794304002,0.095445,0.42321075,0.125811981234211,22168,SNPs
2850,0.287827322227406,0.09974915,0.4242565,0.125491451037762,21874,SNPs
2950,0.278312334285803,0.092408,0.409943,0.11933010860637,21914,SNPs
3050,0.278207785422901,0.09070235,0.409922,0.119095754456901,21764,SNPs
3150,0.277537617507887,0.094150775,0.40849225,0.116877676410352,21484,SNPs
3250,0.274200116403064,0.0922203,0.401079,0.113479768786127,21625,SNPs
3350,0.271859762250455,0.09090665,0.400292,0.108660767502636,21811,SNPs
3450,0.273069477709981,0.09151525,0.399684,0.110603332871717,21663,SNPs
3550,0.270804911990061,0.0910195,0.397367,0.105774937228943,21905,SNPs
3650,0.267900041669242,0.0894465,0.3989455,0.104609847261317,21671,SNPs
3750,0.263770237600907,0.0893148,0.383017,0.0982018722773195,21578,SNPs
3850,0.262776267141827,0.0874787,0.3852485,0.0952291333396067,21254,SNPs
3950,0.26240623475966,0.0888799,0.3871685,0.0938243943425291,21423,SNPs
4050,0.259604762661377,0.0890354,0.379913,0.0912554682722612,21259,SNPs
4150,0.254319235620239,0.086435875,0.373322,0.0870180069765249,21214,SNPs
4250,0.253157825962068,0.0853856,0.370927,0.0871833435164732,21277,SNPs
4350,0.254558048504271,0.0857997,0.37451,0.0883967531553512,21313,SNPs
4450,0.255245480260312,0.0872936,0.37623,0.0874723412268726,21241,SNPs
4550,0.252782164909824,0.08517785,0.3711335,0.0841614759165042,21031,SNPs
4650,0.250034143911717,0.085504375,0.36759775,0.0778411792677128,21030,SNPs
