Bin,MeanR2,Q25,Q75,FracGE,N,type
1000,0.0920949728632099,0.00463255,0.115141,0.0246913580246914,81,SVs
3000,0.0204672127755556,0.00169758,0.01512355,0,18,SVs
5000,0.01980807,0.010737705,0.028878435,0,2,SVs
7000,0.0946340266666667,0.0086104175,0.098237825,0,12,SVs
9000,0.0503527474666667,0.001327776,0.03154355,0,12,SVs
11000,0.11433062,0.0252252,0.134649,0,5,SVs
13000,0.091773875,0.020616425,0.16361325,0,4,SVs
15000,0.0499192281666667,0.0052523875,0.097497425,0,6,SVs
17000,0.189179133333333,0.091426275,0.30497475,0,6,SVs
19000,0.0620017790909091,0.001459645,0.03629575,0,11,SVs
