"Variant","Level","YPD1_n","YPD2_n","Shared_n","Pct_of_YPD1","Pct_of_YPD2"
"SNP","association",2841,2324,57,2,2.5
"SNP","SNP",2295,1872,205,8.9,11
"SNP","gene",1429,1131,344,24.1,30.4
"CNV","association",2221,1482,136,6.1,9.2
"CNV","SNP",234,204,199,85,97.5
"CNV","gene",1111,862,246,22.1,28.5
"Indel","association",1660,1125,63,3.8,5.6
"Indel","SNP",923,681,297,32.2,43.6
"Indel","gene",1142,803,220,19.3,27.4
"All","association",6722,4931,256,3.8,5.2
"All","SNP",3452,2757,701,20.3,25.4
"All","gene",2642,2156,1158,43.8,53.7
