"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr","r2_adj_pooled","cycles","sig_any","class","n_fit","sd_trim","n_outlier","n_early","n_late","shift_early","shift_late","peak_early","peak_late","early_strains","late_strains","cv_trim_amp","sd_trim_str","frac_explained","n_fit_struct","n_fit_amp","n_fit_peak","peak_excess","amp_excess","str_excess","peak_trim_excess","amp_trim_excess","str_trim_excess","peak_robustness","amp_robustness","str_robustness","frac_outlier_peak","peak_diff","amp_spread","expr_gated","amp_gated","amp_trim_excess_final","rank_peak","rank_str","rank_amp","n_phenotypes_available","variability","variability_strict","which_phenotype"
"YDR033W","MRH1",74,0.214639227048674,0.234677529896015,0.15914540698148,0.65255035828312,0.48671178987365,0.745860888275663,1.7005648360289,79.2122323600428,12.458402658879,74,0,1,0.388975884747886,0.0712633646718018,9.56347093299894,0.00199600798403194,0.233852157790755,16.7650679485133,0.00199600798403194,4.98895429268427,11.0222426259133,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.189599878096128,TRUE,TRUE,"cycling, varies between strains",74,9.17,19,11,8,-20.2,27.8,59,19,"BNV,CGS,BFH,BHG,CQD","BGF,BHM,BGD,BDL,CDT",0.741366326993056,0.140608772762734,0.386133573676563,74,74,74,2.49719719363791,3.18945480478757,2.23320085592945,1.83806053574128,3.17023513486847,1.97308635945408,0.736049415890779,0.993973995213775,0.883523913317189,0.256756756756757,7.4694483661947,1.7005648360289,FALSE,FALSE,3.17023513486847,1,1,1,3,1,1,"structure amplitude timing"
"YBR067C","TIP1",74,0.178476268586498,0.12395502080914,0.172469198845996,0.621167143154853,0.651483653964056,1.04880572184683,2.32043878860251,5.73376008283038,11.2254462815697,74,0,1,0.31055433761353,0.0716003068347057,11.2007879341253,0.00199600798403194,0.376016080995938,17.6780896174272,0.00199600798403194,4.02776063133669,8.13824872683934,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.119160239618031,TRUE,TRUE,"cycling, varies between strains",74,6.53,17,9,8,-18.7,26.3,75,32,"SACE_YCK,APQ,BAP,BMB,AAP","CDT,BMC,BBQ,BRK,SACE_YCM",1.03732747383134,0.13392118318629,0.22337696746122,74,74,74,2.78701921713862,2.7892576271443,2.40877737080308,1.62124828104119,2.75873167733629,1.87039957098866,0.581714066078704,0.989055887304587,0.776493333779982,0.22972972972973,7.19768565023304,2.32043878860251,FALSE,FALSE,2.75873167733629,0.986842105263158,0.986842105263158,0.986842105263158,3,0.986842105263158,0.986842105263158,"structure amplitude timing"
"YNL031C","HHT2",74,0.624037672326318,0.638459397774208,0.10878543043307,3.13959328439762,0.523958538429664,0.166887393037023,2.94596883335123,36.627776566821,5.18482712148573,74,0,1,0.948637644848105,0.0642418106819047,6.0142968606441,0.00199600798403194,0.0685862226973767,11.5029449918434,0.00199600798403194,1.6313183463696,13.4979523360814,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.600835306334651,TRUE,TRUE,"cycling, varies between strains",74,2.18,4,0,4,NA,20.9,NA,57.5,NA,"BDL,APQ,SACE_YCM,BHM",0.103946077046506,0.0729781145361116,0.00391951759547737,74,74,74,3.17830491701651,2.43324951387659,1.69337428815207,1.33634247714522,1.51555331316536,1.13599093427589,0.420457606188288,0.622851583663041,0.670844562967566,0.0540540540540541,3.55350877511613,2.94596883335123,FALSE,FALSE,1.51555331316536,0.960526315789474,0.894736842105263,0.894736842105263,3,0.916666666666667,0.916666666666667,"structure amplitude timing"
"YBL002W","HTB2",74,0.624667829061349,0.640391210617217,0.10708469751072,2.98484172500727,0.487667590710681,0.163381390250933,2.91301309153582,35.765264568739,3.73839844892004,74,0,1,0.831819605386784,0.0652707892472904,5.49268308542928,0.00199600798403194,0.0700574221911411,9.76964640795011,0.00199600798403194,1.46260209590252,9.24170735110499,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.597210790959667,TRUE,TRUE,"cycling, varies between strains",74,1.82,1,0,1,NA,32.2,NA,68,NA,"BDL",0.107891411344863,0.0705835913226242,0.00144223950033118,74,74,74,2.55599144797697,2.3321067938408,1.64062207222606,1.24435757688214,1.54004255324294,1.08139632041533,0.486839491527653,0.660365364618061,0.659137981087896,0.0135135135135135,2.27579635301752,2.91301309153582,FALSE,FALSE,1.54004255324294,0.921052631578947,0.842105263157895,0.907894736842105,3,0.890350877192982,0.890350877192982,"structure amplitude timing"
"YBR009C","HHF1",74,0.590205255871974,0.61371579277462,0.121698984912982,3.06470700808755,0.592814620031655,0.193432722432277,3.2599416200767,35.9289756029432,4.35349826745823,74,0,1,0.771437519574068,0.069595649053869,7.05165069031067,0.00199600798403194,0.0745057776169431,12.0502522077839,0.00199600798403194,1.43102136737676,15.5965139937478,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.579290309130896,TRUE,TRUE,"cycling, varies between strains",74,1.86,2,0,2,NA,27.1,NA,63,NA,"BDL,APQ",0.116961395293001,0.0720188130417182,0.0135768680124929,74,74,74,3.04223149053234,2.59621104052861,1.74865794869997,1.29977094850066,1.56982987137366,1.03481775112081,0.427242618632292,0.604661888755403,0.591778255942018,0.027027027027027,2.92247690008147,3.2599416200767,FALSE,FALSE,1.56982987137366,0.934210526315789,0.789473684210526,0.934210526315789,3,0.885964912280702,0.885964912280702,"structure amplitude timing"
"YNL030W","HHF2",74,0.625010067364738,0.642710753468815,0.105070041398961,3.0427191702892,0.522418231371703,0.171694527866024,2.94379198954857,35.8756161565821,3.39195323614458,74,0,1,0.860006263701848,0.062989425518099,5.56479630282872,0.00199600798403194,0.0665077629723684,11.646284182097,0.00199600798403194,1.54901503474565,7.85827804259285,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.601431816066825,TRUE,TRUE,"cycling, varies between strains",74,1.76,1,0,1,NA,21.1,NA,57,NA,"APQ",0.102772542385057,0.0669291495592307,0.000451499643162379,74,74,74,2.1897484272653,2.58157123608798,1.66805841670633,1.13620588601259,1.54527137573032,1.06254580048519,0.518875078006818,0.598577856047064,0.636995557135969,0.0135135135135135,1.84293820139894,2.94379198954857,FALSE,FALSE,1.54527137573032,0.828947368421053,0.828947368421053,0.921052631578947,3,0.859649122807018,0.859649122807018,"structure amplitude timing"
"YDR077W","SED1",74,0.338745109681914,0.356171737877145,0.141228286804756,1.36195064326982,0.549201539501972,0.403246286652083,2.40876577078359,0.345915905553397,7.85670589504469,74,0,1,0.761728781709991,0.0733620268987883,8.46060019632471,0.00199600798403194,0.192876282054614,7.83851954772425,0.00199600798403194,2.94916189475128,5.24875909599177,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.251404323316749,TRUE,TRUE,"cycling, varies between strains",74,2.82,8,7,1,-28.3,10.7,60,11,"AAP,BFH,SACE_YCE,CLN,CMI","BHM",0.271965044950543,0.100523763873218,0.0764660803713874,74,74,74,2.66404699892112,2.09069918994965,1.92508703446262,0.956203864229646,1.41004918828502,1.37024245543137,0.358929052158947,0.674439056112602,0.711782080966468,0.108108108108108,4.9075440002934,2.40876577078359,FALSE,FALSE,1.41004918828502,0.710526315789474,0.947368421052632,0.828947368421053,3,0.828947368421053,0.828947368421053,"structure amplitude timing"
"YKR042W","UTH1",74,0.342566989065211,0.360247331170242,0.123402685500378,1.05642980156199,0.347574060963577,0.329008193871159,1.92484271473025,82.7067862576266,7.18046214643805,74,0,1,0.702160977137488,0.0773622534856351,5.65653928495696,0.00199600798403194,0.155681986452999,7.99381465472819,0.00199600798403194,3.08406260665529,8.17364916623583,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.298193479626239,TRUE,TRUE,"cycling, varies between strains",74,3.6,7,3,4,-20.7,16.3,62,11,"BRK,AFE,CLN","APQ,SACE_YCE,BDL,CBN",0.18862673806587,0.0886344930497589,0.0166120689028156,74,74,74,2.32824785428898,2.11333501946603,1.59512785551537,1.16729147852944,1.2116156940406,1.14570722873548,0.501360487191736,0.573319271615881,0.718254166757883,0.0945945945945946,4.09639953978276,1.92484271473025,FALSE,FALSE,1.2116156940406,0.868421052631579,0.907894736842105,0.684210526315789,3,0.820175438596491,0.820175438596491,"structure amplitude timing"
"YGR189C","CRH1",74,0.381798136305155,0.391624449138807,0.14583783856209,0.884077833200315,0.27757250704558,0.31396840484144,1.3833205123744,17.8449286717534,3.39311547057516,74,0,1,0.446727215784529,0.0836493948604319,7.08753232111501,0.00199600798403194,0.137330490454117,9.40342629267788,0.00199600798403194,2.52716103012282,1.88194082385526,0.0678642714570858,0.029815369261477,0.0100430717512344,0.180217343091595,0.354833849763483,TRUE,TRUE,"cycling, varies between strains",74,2.21,1,0,1,NA,13.2,NA,31,NA,"BDL",0.207333799774191,0.115681054581776,0.00146907903308635,74,74,74,1.34265898774573,2.286225031333,1.74344164480112,0.874499081640474,1.50974338683705,1.38292757257586,0.651318830486305,0.660365172345603,0.793217012281251,0.0135135135135135,0.865954440452338,1.3833205123744,FALSE,FALSE,1.50974338683705,0.552631578947368,0.973684210526316,0.881578947368421,3,0.802631578947368,0.802631578947368,"structure amplitude"
"YML058W","SML1",74,0.534662085978347,0.551960163279345,0.122036818423389,1.76070576385006,0.467435013661157,0.265481617234577,2.60457662053167,67.1494243022579,3.91560021891297,74,0,1,0.720388349514563,0.0701474255461158,6.69276778619735,0.00199600798403194,0.0871573122212177,15.4841686414294,0.00199600798403194,3.0755020076471,1.74150121894206,0.0479041916167665,0.029815369261477,0.0100430717512344,0.144013859074304,0.495696313783022,TRUE,TRUE,"cycling, varies between strains",74,2.58,2,1,1,-13.1,13.9,54,81,"CLN","BDL",0.181170765400484,0.0903791621483107,0.36706069478099,74,74,74,1.27315807603995,3.04600509663202,1.73971913399958,0.838887438078384,2.07866397876803,1.28841737875176,0.658902813300038,0.682423014021354,0.740589301785577,0.027027027027027,0.840098211265872,2.60457662053167,FALSE,FALSE,2.07866397876803,0.5,0.934210526315789,0.973684210526316,3,0.802631578947368,0.802631578947368,"structure amplitude"
