"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr"
"YHR126C","ANS1",12,0.00469376343902514,0.000977266436613833,0.0171082378972641,0.010918958115849,0.0276144794674055,2.52903978332171,0.0966108119997197,76.7113008641421,16.1184473131767,74,62,0.162162162162162,0.000751644221735045,0.00839618571074771,1.07729332865456,0.0678642714570858,1.39170725382496,3.02867585024535,0.0179640718562874,16.2925871917223,-0.106976725775278,0.674650698602794,0.247626883637306,0.0487887860642352,0.802948558328887
"YDL179W","PCL9",74,0.296748296145692,0.309140400434586,0.12080552274569,0.342955283420624,0.146648650710154,0.427602832787661,0.671129836201864,6.71564820715033,1.64758463517104,74,0,1,0.123645474475415,0.094699937559278,2.77384643897434,0.00598802395209581,0.303283406883119,3.44108030349886,0.00598802395209581,1.48028929455321,0.196832270526991,0.209580838323353,0.0561230480216039,0.0216839049174379,0.369666570917206
"YEL032W","MCM3",74,0.186278732822216,0.192126048766726,0.0849481010447684,0.293741298125464,0.119260936881703,0.406006706046365,0.558535529130376,7.22425002678831,4.16353703216826,74,0,1,0.235703100532415,0.0820306542012675,0.294743679105027,0.363273453093812,0.294449453910584,3.38016965380632,0.00199600798403194,3.45842589380252,1.21779003137751,0.131736526946108,0.540949254139696,0.0100430717512344,0.28622754491018
"YNL160W","YGP1",70,0.0557471928991313,0.0266292785430809,0.0792309196519541,0.10157285002547,0.15149278841719,1.49146930876904,0.756344991646308,87.0082665280603,13.2226019542359,74,4,0.945945945945946,0.0531161916692765,0.046703001668286,3.28831154067071,0.00598802395209581,0.805247597913807,6.56447067925383,0.00199600798403194,9.73141221053494,3.23121734515911,0.00199600798403194,0.0561230480216039,0.0100430717512344,0.0164498589028839
"YJL044C","GYP6",74,0.0641264797799588,0.0594020235012802,0.0622149381359806,0.155475418092102,0.100296014491843,0.645092425044509,0.523212370791385,2.76127070807427,11.1770021130536,74,0,1,0.342060757907924,0.0545942247208243,0.968560610855835,0.157684630738523,0.669109610540504,-0.406318370345574,0.63872255489022,10.1659459247555,1.10465135634576,0.137724550898204,0.37052109373486,0.71333967578861,0.293894354148845
"YKR103W","NFT1",57,0.00428256065656844,-0.00238980273265055,0.0271398907698721,0.00979598280009162,0.0191520996425149,1.9550973121692,0.0896848282956904,12.9093685677857,25.8514951302055,74,17,0.77027027027027,0.0224866896335734,0.0249354007763549,0.315624237858992,0.271457085828343,1.88057812745948,0.198585381607008,0.323353293413174,27.041612689713,-0.451876560669817,0.656686626746507,0.475311195790238,0.429341317365269,0.79067054807262
"YJL194W","CDC6",74,0.165716138918648,0.160971711787457,0.101122962956935,0.179064085039097,0.104947726411604,0.586090317266523,0.380675176561879,6.06165339152615,2.15967541424129,74,0,1,0.133103664265581,0.0843905074268657,1.90591322670889,0.0479041916167665,0.446668448486676,3.14557783298766,0.00199600798403194,3.24133624670754,-0.786629567654617,0.662674650698603,0.21202040363717,0.0100430717512344,0.793880909859479
"YHR022C","YHR022C",52,-0.00149210374312814,-0.00258390215122006,0.0270007161529276,0.0103432422140801,0.0246446243747704,2.38267884138129,0.130845445958986,84.2112128283644,21.7549941921588,74,22,0.702702702702703,0.00820544942060758,0.0200680920404051,0.815706277552645,0.153692614770459,1.95632558344479,0.868382049025088,0.141716566866267,25.8930756460425,-1.59992336459651,0.962075848303393,0.37052109373486,0.240214606248496,1
"YMR246W","FAA4",74,0.0846964084821668,0.0770891030067824,0.0781023689173154,0.197090350219758,0.167124864543694,0.847960665539166,0.648974953766147,4.32407291854266,13.9219741160188,74,0,1,0.776072658941434,0.0596226015854627,2.24777723141818,0.0219560878243513,0.869297784163581,-0.285203038859467,0.598802395209581,10.0787514483644,3.05280510456559,0.00399201596806387,0.139933466400532,0.675064964410801,0.0265025504546463
"YBR157C","ICS2",35,-0.00362621969070761,-0.00370249407047174,0.0141782262814697,0.00067398892261341,0.00181119202320043,2.68727268717931,0.00942090892815017,23.5904887709067,22.7546483914633,74,39,0.472972972972973,0.00325712496085186,0.0176204150384974,-0.371826767484148,0.550898203592814,1.8814948897849,1.53993145733687,0.0658682634730539,23.2345182163971,-0.285493881156523,0.56686626746507,0.692971950835172,0.136298830909609,0.707472782893742
