"gene","name","r2_pooled","r2_adj","amp","amp1_db","peak","p_periodic","pct_nonzero","is_spellman","fdr_periodic"
"YNL300W","TOS6",0.715253359475456,0.71516414754472,3.3502095107401,2.72390361050933,29,0,0.463012840588788,TRUE,0
"POL30","POL30",0.657465974283173,0.657358657400624,1.93129639387825,1.80952559997303,25,0,0.489821484497338,FALSE,0
"YNL030W","HHF2",0.601556649499528,0.601431816066825,3.26571813587825,3.04651853458798,35,0,0.860006263701848,TRUE,0
"YNL031C","HHT2",0.600960326597012,0.600835306334651,3.3591677935314,3.1266566270628,36,0,0.948637644848105,TRUE,0
"YBL002W","HTB2",0.597336946437317,0.597210790959667,3.32333666247635,2.98553720467339,35,0,0.831819605386784,TRUE,0
"HTA2","HTA2",0.59484418496045,0.594717248493554,3.44415585061296,3.17429574203079,37,0,0.816348261822737,FALSE,0
"PIR1","PIR1",0.583315539562578,0.583184991138354,2.2151545692703,1.45009619971578,8,0,0.24278108362042,FALSE,0
"YBR009C","HHF1",0.579422077387871,0.579290309130896,3.51453995058954,3.10656357085203,36,0,0.771437519574068,TRUE,0
"HSP150","HSP150",0.571392981221793,0.571258697426199,2.70563514822877,2.11856659439876,7,0,0.49608518634513,FALSE,0
"HTB1","HTB1",0.56476681151751,0.564630451724139,2.93421558092162,2.68542529007734,36,0,0.853366739743188,FALSE,0
"HTA1","HTA1",0.559515216543324,0.559377211410341,2.9617243822952,2.68714774275851,34,0,0.774256185405575,FALSE,0
"HHT1","HHT1",0.556121845324475,0.555982777038657,3.01730203319294,2.69459075925242,35,0,0.917569683683057,FALSE,0
"RNR1","RNR1",0.550118305865628,0.549977356653856,1.38649636902514,1.16668386346951,23,0,0.34306295020357,FALSE,0
"PSA1","PSA1",0.513676447594726,0.513524081045317,2.17568061741606,1.80669324450551,31,0,0.939304729094895,FALSE,0
"YCR024C-B","YCR024C-B",0.513119831634423,0.512967290695654,1.89565364356584,1.79660843058054,75,0,0.912621359223301,FALSE,0
"YML058W","SML1",0.495854264073118,0.495696313783022,1.86546466829041,1.80519302141899,68,0,0.720388349514563,TRUE,0
"YPL163C","SVS1",0.477363456247977,0.477199712735303,1.32751038763795,1.0152807680542,27,0,0.320012527403696,TRUE,0
"YNL327W","EGT2",0.46668460522927,0.46651751600226,1.15188603769242,0.782019919941072,9,0,0.196930786094582,TRUE,0
"PRY2","PRY2",0.439588143159774,0.439412564534283,1.098069111372,0.855786992654024,26,0,0.311055433761353,FALSE,0
"MCD1","MCD1",0.43894470598114,0.438768925764955,0.902614002527813,0.718944021894061,24,0,0.250422799874726,FALSE,0
"YLR194C","NCW2",0.437983853478197,0.437807772224196,1.21609281914431,0.800744653833685,7,0,0.255308487316004,TRUE,0
"NCE102","NCE102",0.426270255358269,0.426090504200727,1.52836665694134,1.44209231522985,72,0,0.727842154713436,FALSE,0
"YPL158C","AIM44",0.418710384378888,0.41852826469231,1.02925320169609,0.656463021299051,6,0,0.173441904165362,TRUE,0
"ASF1","ASF1",0.413048022993397,0.412864129272923,0.79142054608786,0.760309665158056,22,0,0.341246476667711,FALSE,0
"YML052W","SUR7",0.404745182132397,0.404558687108315,1.11121898205251,1.05078842393323,70,0,0.504729094895083,TRUE,0
"YOR264W","DSE3",0.395662411666715,0.395473070984864,0.809041663507332,0.540389784053151,8,0,0.188412151581585,TRUE,0
"RAD27","RAD27",0.395270562844627,0.395081099395428,0.807640382282877,0.748543438207198,23,0,0.353523332289383,FALSE,0
"YLR190W","MMR1",0.394566164307394,0.394376480168133,1.08740073130806,1.04024459236729,75,0,0.44760413404322,TRUE,0
"YLR286C","CTS1",0.387380788691351,0.387188853353514,1.18562835064331,0.993653949552538,18,0,0.279235828374569,TRUE,0
"YOR247W","SRL1",0.38393449724001,0.383741482169279,1.64905226309594,1.3562018654393,35,0,0.78703413717507,TRUE,0
"DSE4","DSE4",0.381900328789175,0.381706676407694,0.903699646689896,0.620911662612115,10,0,0.181271531475102,FALSE,0
"YMR305C","SCW10",0.379691549992961,0.379497205594814,1.18164267235014,1.00576566704298,30,0,0.477795176949577,TRUE,0
"YKL185W","ASH1",0.371168029562751,0.370971014721458,0.930540004875065,0.596573727741832,6,0,0.166050735984967,TRUE,0
"HSL1","HSL1",0.370695305703708,0.370498142756689,0.83554613871116,0.679637406892938,27,0,0.321202630754776,FALSE,0
"YOL007C","CSI2",0.365447670092791,0.365248863046639,0.724706554648963,0.550645679091618,25,0,0.220732853116192,TRUE,0
"YMR122W-A","NCW1",0.359394257150994,0.359193553553385,1.76601819574597,1.39382686345663,13,0,0.73103664265581,FALSE,0
"YPL256C","CLN2",0.358189341648831,0.357988260547775,0.754100125966144,0.560021946928708,24,0,0.200438459129345,TRUE,0
"YGR189C","CRH1",0.355035918840857,0.354833849763483,1.01920710760904,0.913356528641678,17,0,0.446727215784529,TRUE,0
"RFA2","RFA2",0.35244641786185,0.35224353748647,0.830844222611659,0.817315397434397,26,0,0.455809583463827,FALSE,0
"POL1","POL1",0.332496226766152,0.332287095939273,0.608362211067819,0.553658146596939,22,0,0.276667710616975,FALSE,0
"YNL058C","YNL058C",0.329754782366833,0.329544792637641,0.788857978867836,0.707949811637893,81,0,0.302536799248356,TRUE,0
"IRR1","IRR1",0.326606976154031,0.326396000208218,0.605088289312653,0.528021838964236,23,0,0.266019417475728,FALSE,0
"PST1","PST1",0.324746906901709,0.32453534819092,0.753481068429502,0.473494401541285,7,0,0.132853116191669,FALSE,0
"CIS3","CIS3",0.323884610659888,0.323672781789238,1.26841889736681,1.17976914513659,64,0,0.94368932038835,FALSE,0
"YLR183C","TOS4",0.323554155453876,0.323342223050672,0.579825620341349,0.472853054619041,26,0,0.214657062323833,TRUE,0
"CDC21","CDC21",0.321921597851499,0.321709153963364,0.609869821703262,0.538992631442478,27,0,0.277481991857188,FALSE,0
"YPL267W","ACM1",0.318341510549464,0.318127945009816,0.608981654105785,0.485421540657187,22,0,0.184779204509865,TRUE,0
"PMA1","PMA1",0.314733156934602,0.314518460887524,1.05913287764832,1.04798972817665,74,0,0.969495772001253,FALSE,0
"YHR143W","DSE2",0.308273957001639,0.308057237268887,0.704560599699038,0.560700473555584,18,0,0.18133416849358,TRUE,0
"YHR110W","ERP5",0.308181405023291,0.307964656293741,0.76756594499688,0.740190386106951,27,0,0.48374569370498,TRUE,0
"YIL158W","AIM20",0.304454359360339,0.304236442936804,0.808603747283229,0.699377081876513,73,0,0.393485750078296,TRUE,0
"YCR024C-A","PMP1",0.303549957395873,0.303331757620635,0.784712915982791,0.717951545024752,75,0,0.463513936736611,TRUE,0
"YDL179W","PCL9",0.303071021185269,0.302852671357957,0.609791863526439,0.370077572721621,7,0,0.123645474475415,TRUE,0
"YKR042W","UTH1",0.298413288734349,0.298193479626239,1.19701186838924,1.08924810173201,84,0,0.702160977137488,TRUE,0
"YGR279C","SCW4",0.293613666717852,0.29339235387454,1.20941178146769,0.997644123132911,72,0,0.818540557469464,TRUE,0
"RFA1","RFA1",0.285410799824677,0.285186916999883,0.547747352476584,0.517289497568173,25,0,0.291450046977764,FALSE,0
"SIC1","SIC1",0.284285310424974,0.284061074981157,0.68319707957762,0.458368864139487,7,0,0.262261196367053,FALSE,0
"YJL078C","PRY3",0.282244624761332,0.282019749964905,0.763895638126062,0.689734555642325,13,0,0.352145317882869,TRUE,0
"YGR086C","PIL1",0.279994820555316,0.279769240888844,0.9441086784333,0.814944001279465,12,0,0.921265267773254,TRUE,0
"YBR071W","YBR071W",0.278591353882922,0.278365334506358,0.549455870873359,0.450124580399952,14,0,0.188913247729408,TRUE,0
"GIN4","GIN4",0.269421881426295,0.269192989227983,0.585130019418911,0.484991821326461,23,0,0.286940181647354,FALSE,0
"YJL074C","SMC3",0.26646375464491,0.26623393565708,0.48742771870316,0.447330504183571,24,0,0.256122768556217,TRUE,0
"SMC1","SMC1",0.265694473231909,0.265464413226029,0.519488180179775,0.475829227944736,22,0,0.292953335421234,FALSE,0
"RAD51","RAD51",0.263846819085165,0.263616180203997,0.707622144407998,0.641029396962788,25,0,0.387222048230504,FALSE,0
"YHR152W","SPO12",0.261239199219931,0.261007743364057,0.573683734795994,0.529697265212506,81,0,0.299592859379893,TRUE,0
"YBR070C","ALG14",0.260735385481098,0.260503771778949,0.549530284157612,0.519517987957681,24,0,0.291700595051676,TRUE,0
"YBR252W","DUT1",0.254659751251421,0.254426234035823,0.959410647704885,0.910805005211962,31,0,0.879611650485437,FALSE,0
"YDR077W","SED1",0.25163878700902,0.251404323316749,1.77417633940006,1.34935191560901,3,0,0.761728781709991,TRUE,0
"YGL028C","SCW11",0.249092742350485,0.248857480975195,0.598711066087732,0.426061662338504,12,0,0.158095834638271,TRUE,0
"YBL035C","POL12",0.24827137342488,0.248035854712375,0.42445424236173,0.383739477412196,21,0,0.207140620106483,TRUE,0
"YDL117W","CYK3",0.244894494573168,0.244657917874933,0.594945461340589,0.398377197975804,6,0,0.282618227372377,TRUE,0
"GAS1","GAS1",0.244540111673599,0.244303423946195,1.03428420216886,0.885417804169559,31,0,0.945255245850298,FALSE,0
"YPL127C","HHO1",0.244438703540328,0.244201984041469,0.886388068353961,0.764192700706871,35,0,0.553648606326339,TRUE,0
"YBR038W","CHS2",0.24072678681018,0.240488904357272,0.500644876050233,0.462629750836571,77,0,0.247103037895396,TRUE,0
"MSH6","MSH6",0.236936454840803,0.23669738486613,0.406311564635068,0.37099109814506,22,0,0.208769182586909,FALSE,0
"AMN1","AMN1",0.233260570143012,0.23302034850323,0.476024797389703,0.332128551012392,12,0,0.139430003131851,FALSE,0
"CHS1","CHS1",0.230491967544114,0.230250878493279,0.623523047721257,0.391330755626058,7,0,0.272220482305042,FALSE,0
"YGR109C","CLB6",0.229073586353324,0.228832052919636,0.37651946321289,0.281337960919922,21,0,0.109552145317883,TRUE,0
"YLR050C","EMA19",0.228282679487764,0.228040898260709,0.72559720095498,0.6988682813912,27,0,0.520889445662386,TRUE,0
"RFA3","RFA3",0.227559072830679,0.227317064895605,0.784041539376256,0.711062738656853,29,0,0.679549013466959,FALSE,0
"HTZ1","HTZ1",0.225178199784649,0.224935445915292,0.846292385943164,0.838968250836084,48,0,0.769808957093642,FALSE,0
"VRG4","VRG4",0.224927011160463,0.224684178592996,0.880611105847043,0.776773383621709,31,0,0.846789852803007,FALSE,0
"YIL123W","SIM1",0.222947076710146,0.222703623823596,0.866317638589651,0.75706242158498,36,0,0.541622298778578,TRUE,0
"YML119W","YML119W",0.220045083494956,0.219800721405695,0.458776248270751,0.397706904441881,77,0,0.200250548073912,TRUE,0
"YDL018C","ERP3",0.219374396161684,0.219129823944177,0.46883746154101,0.450371144779817,24,0,0.297776385844034,TRUE,0
"TOP2","TOP2",0.218194658383526,0.217949716550824,0.68184526669339,0.580644463995592,29,0,0.487503914813655,FALSE,0
"YER124C","DSE1",0.215492552071609,0.21524676366133,0.519383865475059,0.391356612910909,15,0,0.128468524898215,TRUE,0
"YML027W","YOX1",0.215066125637354,0.214820203626463,0.482331189218569,0.363878908997418,21,0,0.155966176010022,TRUE,0
"PHO3","PHO3",0.213598593869893,0.213352212077133,0.696479522663951,0.584770857358897,78,0,0.299217037269026,FALSE,0
"KIN3","KIN3",0.212728018863937,0.212481364317557,0.371028166179821,0.318734268978847,82,0,0.164359536486063,FALSE,0
"YKL045W","PRI2",0.211735337484151,0.211488371927877,0.381995293197679,0.344809419452588,22,0,0.214594425305355,TRUE,0
"SWI4","SWI4",0.210999623130895,0.210752427073226,0.349411313438276,0.298791084923294,16,0,0.161916692765424,FALSE,0
"YKR077W","MSA2",0.210455951707291,0.210208585315821,0.340040847283609,0.263572771077016,14,0,0.130786094581898,TRUE,0
"PCL1","PCL1",0.208675156080709,0.208427231760915,0.415044985120276,0.305066268829337,23,0,0.122705919198246,FALSE,0
"YOR315W","SFG1",0.206820977360248,0.206572472120998,0.505241104160307,0.493383820694423,67,0,0.321954274976511,TRUE,0
"SEN34","SEN34",0.203616467441818,0.203366958220514,0.407497961297539,0.383225145312919,21,0,0.251049170059505,FALSE,0
"YMR179W","SPT21",0.203305232027773,0.203055625295531,0.332315363808613,0.281795000118182,20,0,0.158534293767617,TRUE,0
"CWP2","CWP2",0.200746401738446,0.20049599331741,1.02765343796563,1.01555996201523,63,0,0.984904478546821,FALSE,0
"NIS1","NIS1",0.198968563733621,0.198717598310892,0.348149635678395,0.220049614526947,8,0,0.129157532101472,FALSE,0
"YLR110C","CCW12",0.198114361440656,0.197863128393924,0.335090805035885,0.333541533373784,57,0,0.999874725963044,FALSE,0
"YLR049C","MLO50",0.197875349463689,0.197624041533826,0.370765405686643,0.301582508807598,12,0,0.168243031631694,TRUE,0
"YKL104C","GFA1",0.191784780837406,0.191531564715104,0.555619043210252,0.551268149499358,2,0,0.599624177889132,TRUE,0
"RSR1","RSR1",0.190829219781072,0.190575704278779,0.531735906525127,0.515884539437675,25,0,0.515502662073285,FALSE,0
