"gene","strain","value","stat"
"YHR126C","AAP",NA,"r2_adj"
"YHR126C","AFE",NA,"r2_adj"
"YHR126C","AKH",NA,"r2_adj"
"YHR126C","AKI",NA,"r2_adj"
"YHR126C","AKM",NA,"r2_adj"
"YHR126C","AMP",NA,"r2_adj"
"YHR126C","ANG",NA,"r2_adj"
"YHR126C","ANN",NA,"r2_adj"
"YHR126C","APQ",NA,"r2_adj"
"YHR126C","ATS",NA,"r2_adj"
"YHR126C","BAF",NA,"r2_adj"
"YHR126C","BAG",NA,"r2_adj"
"YHR126C","BAI",NA,"r2_adj"
"YHR126C","BAK",0.00833710230093432,"r2_adj"
"YHR126C","BAL",-0.00150282378802924,"r2_adj"
"YHR126C","BAM",NA,"r2_adj"
"YHR126C","BAN",NA,"r2_adj"
"YHR126C","BAP",NA,"r2_adj"
"YHR126C","BBQ",NA,"r2_adj"
"YHR126C","BCK",NA,"r2_adj"
"YHR126C","BDB",NA,"r2_adj"
"YHR126C","BDL",NA,"r2_adj"
"YHR126C","BDP",NA,"r2_adj"
"YHR126C","BEF",NA,"r2_adj"
"YHR126C","BFH",NA,"r2_adj"
"YHR126C","BFP",NA,"r2_adj"
"YHR126C","BGD",NA,"r2_adj"
"YHR126C","BGF",NA,"r2_adj"
"YHR126C","BHG",NA,"r2_adj"
"YHR126C","BHK",NA,"r2_adj"
"YHR126C","BHM",NA,"r2_adj"
"YHR126C","BHQ",NA,"r2_adj"
"YHR126C","BMA",0.00318585634952206,"r2_adj"
"YHR126C","BMB",NA,"r2_adj"
"YHR126C","BMC",NA,"r2_adj"
"YHR126C","BNC",NA,"r2_adj"
"YHR126C","BNV",NA,"r2_adj"
"YHR126C","BQM",-0.00902275545221642,"r2_adj"
"YHR126C","BRK",NA,"r2_adj"
"YHR126C","BVG",NA,"r2_adj"
"YHR126C","CAE",NA,"r2_adj"
"YHR126C","CBN",NA,"r2_adj"
"YHR126C","CCD",NA,"r2_adj"
"YHR126C","CCG",NA,"r2_adj"
"YHR126C","CCN",NA,"r2_adj"
"YHR126C","CCQ",NA,"r2_adj"
"YHR126C","CCR",0.00357979055840696,"r2_adj"
"YHR126C","CCS",NA,"r2_adj"
"YHR126C","CCV",0.00454867261293501,"r2_adj"
"YHR126C","CDE",NA,"r2_adj"
"YHR126C","CDH",NA,"r2_adj"
"YHR126C","CDL",-0.0012313234762944,"r2_adj"
"YHR126C","CDT",NA,"r2_adj"
"YHR126C","CEG",NA,"r2_adj"
"YHR126C","CFF",NA,"r2_adj"
"YHR126C","CGL",NA,"r2_adj"
"YHR126C","CGN",NA,"r2_adj"
"YHR126C","CGS",-0.0032460710155513,"r2_adj"
"YHR126C","CLB",-0.00916330535183563,"r2_adj"
"YHR126C","CLI",NA,"r2_adj"
"YHR126C","CLN",NA,"r2_adj"
"YHR126C","CLP",0.00838613654288811,"r2_adj"
"YHR126C","CMI",NA,"r2_adj"
"YHR126C","CNH",NA,"r2_adj"
"YHR126C","CPI",NA,"r2_adj"
"YHR126C","CPK",NA,"r2_adj"
"YHR126C","CPN",NA,"r2_adj"
"YHR126C","CQD",NA,"r2_adj"
"YHR126C","CQF",NA,"r2_adj"
"YHR126C","SACE_YCE",NA,"r2_adj"
"YHR126C","SACE_YCK",0.0557659363978613,"r2_adj"
"YHR126C","SACE_YCM",NA,"r2_adj"
"YHR126C","SACE_YCR",-0.00331205441031912,"r2_adj"
"YHR126C","SACE_YCU",NA,"r2_adj"
"YDL179W","AAP",0.0820087043977661,"r2_adj"
"YDL179W","AFE",0.0760692786735266,"r2_adj"
"YDL179W","AKH",0.391570737827203,"r2_adj"
"YDL179W","AKI",0.30751375260973,"r2_adj"
"YDL179W","AKM",0.464828638820554,"r2_adj"
"YDL179W","AMP",0.340865607427107,"r2_adj"
"YDL179W","ANG",0.369202189556249,"r2_adj"
"YDL179W","ANN",0.326178245730593,"r2_adj"
"YDL179W","APQ",0.122028386930829,"r2_adj"
"YDL179W","ATS",0.16760297926331,"r2_adj"
"YDL179W","BAF",0.393812054901422,"r2_adj"
"YDL179W","BAG",0.382749711836268,"r2_adj"
"YDL179W","BAI",0.43676249495861,"r2_adj"
"YDL179W","BAK",0.336992067285212,"r2_adj"
"YDL179W","BAL",0.310115162136114,"r2_adj"
"YDL179W","BAM",0.479761549813246,"r2_adj"
"YDL179W","BAN",0.393160985326761,"r2_adj"
"YDL179W","BAP",0.343590587889057,"r2_adj"
"YDL179W","BBQ",0.386282034392177,"r2_adj"
"YDL179W","BCK",0.325273407339871,"r2_adj"
"YDL179W","BDB",0.10040145829126,"r2_adj"
"YDL179W","BDL",0.168062255696604,"r2_adj"
"YDL179W","BDP",0.148689518228931,"r2_adj"
"YDL179W","BEF",0.293695363458956,"r2_adj"
"YDL179W","BFH",0.474389121563725,"r2_adj"
"YDL179W","BFP",0.255859269600555,"r2_adj"
"YDL179W","BGD",0.217812090492543,"r2_adj"
"YDL179W","BGF",0.144714819707857,"r2_adj"
"YDL179W","BHG",0.200680808929841,"r2_adj"
"YDL179W","BHK",0.382371006473267,"r2_adj"
"YDL179W","BHM",0.352534625866511,"r2_adj"
"YDL179W","BHQ",0.278964853992601,"r2_adj"
"YDL179W","BMA",0.458369364059147,"r2_adj"
"YDL179W","BMB",0.425626805938915,"r2_adj"
"YDL179W","BMC",0.348167198091728,"r2_adj"
"YDL179W","BNC",0.207788703449842,"r2_adj"
"YDL179W","BNV",0.359840091551006,"r2_adj"
"YDL179W","BQM",0.406151357818484,"r2_adj"
"YDL179W","BRK",0.313078331754782,"r2_adj"
"YDL179W","BVG",0.239718715378323,"r2_adj"
"YDL179W","CAE",0.141037752393084,"r2_adj"
"YDL179W","CBN",0.0958324696448267,"r2_adj"
"YDL179W","CCD",0.456509859586558,"r2_adj"
"YDL179W","CCG",0.29629584173271,"r2_adj"
"YDL179W","CCN",0.528717416948235,"r2_adj"
"YDL179W","CCQ",0.2605473868053,"r2_adj"
"YDL179W","CCR",0.327325060239196,"r2_adj"
