"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr","r2_adj_pooled","cycles","sig_any","class","which_phenotype","peak_spread_min","amp_spread"
"YDR033W","MRH1",74,0.214639227048674,0.234677529896015,0.15914540698148,0.65255035828312,0.48671178987365,0.745860888275663,1.7005648360289,79.2122323600428,12.458402658879,74,0,1,0.388975884747886,0.0712633646718018,9.56347093299894,0.00199600798403194,0.233852157790755,16.7650679485133,0.00199600798403194,4.98895429268427,11.0222426259133,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.189599878096128,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",12.458402658879,1.7005648360289
"YMR002W","MIX17",74,0.169485484465762,0.157055270595748,0.107224886051213,0.462056606775007,0.213486950628781,0.46203635549948,0.879250787908906,64.8203701610395,12.0229621312969,74,0,1,0.939931099279674,0.0744720619894686,3.48392042725998,0.00199600798403194,0.366143186806712,2.48836818181411,0.0139720558882236,10.0227197855577,2.15262499977516,0.0179640718562874,0.029815369261477,0.0409732681875513,0.0686946107784431,0.121777148136638,TRUE,TRUE,"cycling, varies between strains","structure amplitude",12.0229621312969,0.879250787908906
"YOL014W","YOL014W",74,0.105602683173951,0.0973841377267527,0.080343503024804,0.303661679947018,0.188923864993088,0.622152472534734,0.643363158349633,78.660379339073,11.2671339150056,74,0,1,0.726714688380833,0.0696133905683006,1.35518748617433,0.0898203592814371,0.544442511652585,1.6442612463423,0.0479041916167665,7.98952317282687,3.59279938694254,0.00199600798403194,0.284331998255145,0.106010201818585,0.0164498589028839,0.108225687342904,TRUE,TRUE,"cycling, varies between strains","",11.2671339150056,0.643363158349633
"YBR067C","TIP1",74,0.178476268586498,0.12395502080914,0.172469198845996,0.621167143154853,0.651483653964056,1.04880572184683,2.32043878860251,5.73376008283038,11.2254462815697,74,0,1,0.31055433761353,0.0716003068347057,11.2007879341253,0.00199600798403194,0.376016080995938,17.6780896174272,0.00199600798403194,4.02776063133669,8.13824872683934,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.119160239618031,TRUE,TRUE,"cycling, varies between strains","structure amplitude",11.2254462815697,2.32043878860251
"YMR215W","GAS3",74,0.185765266017321,0.190654104166205,0.079084771943444,0.548909338906218,0.182403369591273,0.332301450645272,0.995684501364156,48.5998063230097,9.20546984991784,74,0,1,0.390416536172878,0.0633305590864531,1.96518706015629,0.0459081836327345,0.217507847961498,3.75401105364739,0.00199600798403194,6.58224482892391,5.04564026744609,0.00199600798403194,0.205085156789225,0.0100430717512344,0.0164498589028839,0.168078479357924,TRUE,TRUE,"cycling, varies between strains","amplitude",9.20546984991784,0.995684501364156
"YMR295C","GSR1",74,0.191573035016647,0.192950406674255,0.0879982119167412,0.628215592529569,0.24991673521113,0.397820013038544,1.54670639216362,41.2658293930335,9.09081256209243,74,0,1,0.641340432195427,0.0681183412149663,2.56906259323583,0.0139720558882236,0.229062719210313,5.65443838994931,0.00199600798403194,6.68460611559393,3.01155305939887,0.00399201596806387,0.107720043783401,0.0100430717512344,0.0265025504546463,0.174200635740521,TRUE,TRUE,"cycling, varies between strains","amplitude",9.09081256209243,1.54670639216362
"YNR009W","NRM1",74,0.190797470394709,0.180217062316166,0.0832899415967347,0.487510620016328,0.163107641707749,0.334572489317846,0.869754721271337,43.8897596297105,9.06275278719533,74,0,1,0.304290635765738,0.0584826871715454,3.24147104334655,0.00199600798403194,0.217639926958601,3.93128485438389,0.00199600798403194,6.26730081631329,4.6724288941826,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.164188652729039,TRUE,TRUE,"cycling, varies between strains","structure amplitude",9.06275278719533,0.869754721271337
"YPL232W","SSO1",74,0.152272840537075,0.159146670794295,0.0856747951890853,0.391702364131937,0.210131493710971,0.536457047372308,0.919864211195896,15.7073825124774,8.95984232255378,74,0,1,0.649796429689947,0.0708968689271848,1.85909975500293,0.0399201596806387,0.318806596640192,6.05089133585972,0.00199600798403194,5.49231570352717,4.87450427961756,0.00199600798403194,0.18707682673868,0.0100430717512344,0.0164498589028839,0.140608334169822,TRUE,TRUE,"cycling, varies between strains","amplitude",8.95984232255378,0.919864211195896
"YIL106W","MOB1",74,0.128471490170284,0.128073704569667,0.0779836063270178,0.298973037027108,0.127409438396337,0.426156952691303,0.658723196864033,73.0005401215876,8.89593138378569,74,0,1,0.26595678045725,0.0671028458325865,1.26158881057745,0.101796407185629,0.278486417430185,4.25185206456246,0.00199600798403194,5.45773797600877,4.98784486670538,0.00199600798403194,0.302227842451743,0.0100430717512344,0.0164498589028839,0.138994270541284,TRUE,TRUE,"cycling, varies between strains","amplitude",8.89593138378569,0.658723196864033
"YIL123W","SIM1",74,0.254064012667106,0.245426353880311,0.0700715723777914,0.78555285093123,0.169901994264522,0.21628333989637,1.02249732110681,39.0000605510838,8.73537630144299,74,0,1,0.541622298778578,0.0670119817526165,0.375730666411792,0.305389221556886,0.18391629813026,1.24550671809872,0.117764471057884,5.01811347716183,4.34173531053035,0.00199600798403194,0.494834060692175,0.206195667273512,0.0164498589028839,0.222703623823596,TRUE,TRUE,"cycling, varies between strains","timing",8.73537630144299,1.02249732110681
