"name","gene","mean_r2","cv_amp","amp_trim_excess_final","amp_robustness","frac_explained","cv_amp_p_fdr","which_phenotype","early_strains","late_strains"
"MRH1","YDR033W",0.214639227048674,0.745860888275663,3.17023513486847,0.993973995213775,0.386133573676563,0.0100430717512344,"structure amplitude timing","BNV,CGS,BFH,BHG,CQD","BGF,BHM,BGD,BDL,CDT"
"TIP1","YBR067C",0.178476268586498,1.04880572184683,2.75873167733629,0.989055887304587,0.22337696746122,0.0100430717512344,"structure amplitude timing","SACE_YCK,APQ,BAP,BMB,AAP","CDT,BMC,BBQ,BRK,SACE_YCM"
"SML1","YML058W",0.534662085978347,0.265481617234577,2.07866397876803,0.682423014021354,0.36706069478099,0.0100430717512344,"structure amplitude","CLN","BDL"
"SSO1","YPL232W",0.152272840537075,0.536457047372308,1.64877673849351,0.979837814030676,0.0170815970885722,0.0100430717512344,"amplitude timing","CLN,CNH,CBN,AFE,SACE_YCE","BNV,CDH,SACE_YCM,BDP,CDT"
"MNN1","YER001W",0.209190136833395,0.510506561495397,1.60713722118955,0.78516061328166,0.450610869194981,0.0100430717512344,"amplitude timing","AFE","BGD,APQ"
"HHF1","YBR009C",0.590205255871974,0.193432722432277,1.56982987137366,0.604661888755403,0.0135768680124929,0.0100430717512344,"structure amplitude timing",NA,"BDL,APQ"
"HHF2","YNL030W",0.625010067364738,0.171694527866024,1.54527137573032,0.598577856047064,0.000451499643162379,0.0100430717512344,"structure amplitude timing",NA,"APQ"
"HTB2","YBL002W",0.624667829061349,0.163381390250933,1.54004255324294,0.660365364618061,0.00144223950033118,0.0100430717512344,"structure amplitude timing",NA,"BDL"
"HHT2","YNL031C",0.624037672326318,0.166887393037023,1.51555331316536,0.622851583663041,0.00391951759547737,0.0100430717512344,"structure amplitude timing",NA,"BDL,APQ,SACE_YCM,BHM"
"CRH1","YGR189C",0.381798136305155,0.31396840484144,1.50974338683705,0.660365172345603,0.00146907903308635,0.0100430717512344,"structure amplitude",NA,"BDL"
