"name","gene","mean_r2","mean_peak","sd_peak","peak_trim_excess","peak_robustness","n_early","n_late","sd_peak_p_fdr","which_phenotype","early_strains","late_strains"
"MRH1","YDR033W",0.214639227048674,79.2122323600428,12.458402658879,1.83806053574128,0.736049415890779,11,8,0.0164498589028839,"structure amplitude timing","BNV,CGS,BFH,BHG,CQD","BGF,BHM,BGD,BDL,CDT"
"TIP1","YBR067C",0.178476268586498,5.73376008283038,11.2254462815697,1.62124828104119,0.581714066078704,9,8,0.0164498589028839,"structure amplitude timing","SACE_YCK,APQ,BAP,BMB,AAP","CDT,BMC,BBQ,BRK,SACE_YCM"
"PRY3","YJL078C",0.305121633614035,13.0285781763269,7.26686147481316,1.33888288436369,0.414209079178489,4,0,0.0164498589028839,"amplitude timing","APQ,BDL,AAP,CEG",NA
"HHT2","YNL031C",0.624037672326318,36.627776566821,5.18482712148573,1.33634247714522,0.420457606188288,0,4,0.0164498589028839,"structure amplitude timing",NA,"BDL,APQ,SACE_YCM,BHM"
"CTS1","YLR286C",0.406068492156146,18.5570412565734,4.06906572457035,1.3194212373073,0.575070583370113,1,1,0.0164498589028839,"amplitude timing","SACE_YCK","BDL"
"HHF1","YBR009C",0.590205255871974,35.9289756029432,4.35349826745823,1.29977094850066,0.427242618632292,0,2,0.0164498589028839,"structure amplitude timing",NA,"BDL,APQ"
"HTB2","YBL002W",0.624667829061349,35.765264568739,3.73839844892004,1.24435757688214,0.486839491527653,0,1,0.0164498589028839,"structure amplitude timing",NA,"BDL"
"YNL058C","YNL058C",0.353728484266423,80.2450851920779,5.00267871166152,1.19066117209786,0.58568622309684,2,0,0.0164498589028839,"amplitude timing","SACE_YCE,AAP",NA
"DSE2","YHR143W",0.303066064410617,18.595805234478,5.16294719424212,1.17328696055678,0.459040139446536,0,2,0.0164498589028839,"amplitude timing",NA,"AFE,BDL"
"TOS6","YNL300W",0.717365573481775,29.013550939537,1.19094718168915,1.1723276715838,0.839667800029281,0,0,0.0336738288129623,"structure amplitude timing",NA,NA
